cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
8445201ffffffff,4.0,0.0,0.0
844520dffffffff,4.0,0.0,0.0
8445215ffffffff,1.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0
84452c3ffffffff,2.0,0.0,0.0
84452e1ffffffff,2.0,2.0,0.0
8466081ffffffff,1.0,0.0,0.0
8466089ffffffff,1.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0
84660c7ffffffff,6.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0
8466415ffffffff,2.0,0.0,0.0
8466a51ffffffff,2.0,2.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b41ffffffff,2.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b4dffffffff,7.0,1.0,0.0
8466b51ffffffff,6.0,0.0,0.0
8466b53ffffffff,1.0,1.0,0.0
8466b55ffffffff,2.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8466d0bffffffff,4.0,0.0,4.0
8466d0dffffffff,4.0,0.0,4.0
8466d31ffffffff,1.0,0.0,0.0
8466d47ffffffff,1.0,0.0,1.0
8466da7ffffffff,1.0,1.0,0.0
8466de1ffffffff,9.0,0.0,9.0
8466e65ffffffff,3.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0
8467413ffffffff,18.0,0.0,0.0
846742dffffffff,1.0,1.0,0.0
8467433ffffffff,1.0,0.0,0.0
8467435ffffffff,3.0,0.0,0.0
8467599ffffffff,2.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0
84675c1ffffffff,3.0,0.0,0.0
84675c9ffffffff,2.0,0.0,0.0
84675cbffffffff,31.0,0.0,0.0
84679a1ffffffff,5.0,0.0,0.0
84679a5ffffffff,12.0,4.0,0.0
84679b7ffffffff,2.0,0.0,0.0
846d053ffffffff,2.0,0.0,0.0
846d243ffffffff,2.0,0.0,0.0
846d255ffffffff,4.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d2a3ffffffff,14.0,0.0,0.0
846d2abffffffff,2.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0
846d2c3ffffffff,7.0,0.0,0.0
846d2c9ffffffff,11.0,11.0,0.0
846d319ffffffff,5.0,5.0,0.0
846d341ffffffff,19.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d693ffffffff,1.0,1.0,0.0
846d697ffffffff,6.0,0.0,0.0
846d69dffffffff,8.0,4.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d3ffffffff,3.0,0.0,0.0
846d769ffffffff,4.0,0.0,0.0
848b1e1ffffffff,2.0,0.0,0.0
848b6cdffffffff,3.0,3.0,0.0
848f2a9ffffffff,2.0,0.0,2.0
848f4adffffffff,2.0,0.0,0.0
848f4b3ffffffff,15.0,0.0,0.0
848f50dffffffff,1.0,0.0,1.0
84a8261ffffffff,2.0,0.0,0.0
84a826dffffffff,1.0,0.0,0.0
84a8351ffffffff,2.0,0.0,0.0
84a8359ffffffff,2.0,0.0,0.0
84a835dffffffff,2.0,0.0,0.0
84a8a23ffffffff,1.0,0.0,0.0
84a90bbffffffff,2.0,0.0,0.0
84a9181ffffffff,6.0,0.0,0.0
84a91b5ffffffff,3.0,0.0,0.0
84a91b7ffffffff,4.0,0.0,0.0
84a91ddffffffff,6.0,0.0,0.0
84a946bffffffff,10.0,0.0,0.0
84a95edffffffff,2.0,0.0,0.0
84a962dffffffff,4.0,0.0,0.0
84a9711ffffffff,1.0,0.0,0.0
84a9717ffffffff,4.0,0.0,0.0
