cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
824507fffffffff,2.0,0.0,0.0
824527fffffffff,3.0,0.0,0.0
82452ffffffffff,10.0,1.0,0.0
824837fffffffff,3.0,0.0,0.0
824987fffffffff,3.0,2.0,0.0
824997fffffffff,3.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249a7fffffffff,2.0,0.0,0.0
8249b7fffffffff,21.0,5.0,0.0
82661ffffffffff,3.0,0.0,0.0
826627fffffffff,11.0,7.0,0.0
82662ffffffffff,6.0,0.0,0.0
8266b7fffffffff,17.0,12.0,0.0
8266c7fffffffff,3.0,0.0,0.0
8266dffffffffff,5.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0
8266effffffffff,1.0,0.0,1.0
8266f7fffffffff,5.0,0.0,0.0
82674ffffffffff,9.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d07fffffffff,2.0,0.0,0.0
826d17fffffffff,4.0,2.0,0.0
826d27fffffffff,6.0,2.0,0.0
826d2ffffffffff,30.0,6.0,0.0
826d37fffffffff,20.0,6.0,0.0
826d6ffffffffff,19.0,6.0,0.0
826d77fffffffff,2.0,0.0,0.0
828137fffffffff,3.0,0.0,3.0
828b47fffffffff,2.0,0.0,2.0
828b67fffffffff,2.0,0.0,2.0
828f2ffffffffff,8.0,0.0,0.0
82a597fffffffff,7.0,0.0,7.0
