cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
836500fffffffff,43.0,0.0,0.0
836501fffffffff,3.0,0.0,0.0
836502fffffffff,26.0,0.0,0.0
836503fffffffff,104.0,0.0,0.0
836505fffffffff,19.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0
83650efffffffff,1.0,0.0,0.0
836518fffffffff,37.0,0.0,0.0
836519fffffffff,5.0,0.0,0.0
83651cfffffffff,8.0,0.0,0.0
83651dfffffffff,172.0,0.0,0.0
836520fffffffff,54.0,0.0,0.0
836523fffffffff,9.0,0.0,0.0
836526fffffffff,101.0,0.0,0.0
83681cfffffffff,2.0,0.0,0.0
