cell_id,Scepomycter winifredae,Scepomycter winifredae winifredae,Scepomycter winifredae rubehoensis
847b4dbffffffff,13.0,1.0,0.0
8496b21ffffffff,30.0,0.0,13.0
8496b67ffffffff,26.0,0.0,0.0
