cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
822c97fffffffff,934.0,0.0,7.0
822c9ffffffffff,5.0,0.0,0.0
822cd7fffffffff,59.0,0.0,0.0
822cdffffffffff,4.0,0.0,0.0
822d87fffffffff,2.0,0.0,0.0
822d97fffffffff,17.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0
823817fffffffff,618.0,0.0,76.0
823847fffffffff,7.0,0.0,0.0
82384ffffffffff,10.0,0.0,0.0
823857fffffffff,3.0,0.0,0.0
82385ffffffffff,12.0,0.0,0.0
8238a7fffffffff,11.0,0.0,0.0
8238dffffffffff,2.0,0.0,0.0
823987fffffffff,3.0,0.0,0.0
82398ffffffffff,347.0,0.0,27.0
823997fffffffff,45.0,0.0,3.0
82399ffffffffff,19.0,0.0,0.0
823e2ffffffffff,1.0,0.0,0.0
823e37fffffffff,1.0,0.0,0.0
823e47fffffffff,3.0,0.0,0.0
823e4ffffffffff,1.0,0.0,0.0
823e5ffffffffff,2.0,0.0,0.0
823e67fffffffff,1.0,0.0,0.0
823e6ffffffffff,20.0,0.0,0.0
823e77fffffffff,7.0,0.0,0.0
824237fffffffff,7.0,0.0,0.0
824257fffffffff,114.0,0.0,0.0
8242c7fffffffff,105.0,0.0,0.0
8242e7fffffffff,5.0,0.0,0.0
824317fffffffff,9.0,0.0,0.0
82431ffffffffff,5.0,0.0,0.0
824327fffffffff,2.0,0.0,0.0
824337fffffffff,3.0,0.0,0.0
824357fffffffff,5.0,0.0,0.0
824377fffffffff,1.0,0.0,0.0
824387fffffffff,4.0,0.0,0.0
82438ffffffffff,7.0,0.0,0.0
824397fffffffff,15.0,0.0,0.0
82439ffffffffff,40.0,0.0,0.0
8243a7fffffffff,330.0,0.0,7.0
8243affffffffff,49.0,0.0,3.0
8243b7fffffffff,1.0,0.0,0.0
825207fffffffff,2.0,0.0,0.0
825217fffffffff,33.0,0.0,0.0
82521ffffffffff,5.0,0.0,0.0
82522ffffffffff,2.0,0.0,0.0
825237fffffffff,4.0,0.0,0.0
82524ffffffffff,9.0,0.0,0.0
82526ffffffffff,65.0,0.0,0.0
82528ffffffffff,8.0,0.0,0.0
8252d7fffffffff,7.0,0.0,0.0
8252f7fffffffff,5.0,0.0,0.0
82530ffffffffff,3.0,0.0,0.0
825317fffffffff,7.0,0.0,0.0
825327fffffffff,4.0,0.0,0.0
82532ffffffffff,16.0,0.0,0.0
825337fffffffff,8.0,0.0,0.0
825347fffffffff,16.0,0.0,0.0
82534ffffffffff,18.0,0.0,0.0
825357fffffffff,2.0,0.0,0.0
825367fffffffff,10.0,0.0,1.0
82536ffffffffff,109.0,0.0,0.0
825377fffffffff,33.0,0.0,0.0
8253a7fffffffff,7.0,0.0,0.0
8253affffffffff,12.0,0.0,0.0
8253b7fffffffff,2.0,0.0,0.0
825437fffffffff,12.0,0.0,0.0
825497fffffffff,22.0,12.0,0.0
8254b7fffffffff,83.0,44.0,0.0
825517fffffffff,228.0,0.0,10.0
82551ffffffffff,13.0,0.0,0.0
825527fffffffff,2.0,0.0,0.0
825537fffffffff,31.0,0.0,3.0
8255affffffffff,7.0,0.0,0.0
825907fffffffff,3.0,0.0,0.0
826327fffffffff,21.0,0.0,0.0
826337fffffffff,27.0,0.0,0.0
