cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
846a581ffffffff,9.0,0.0,0.0
846a5abffffffff,5.0,0.0,0.0
846ac93ffffffff,5.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0
847a407ffffffff,4.0,0.0,0.0
847a413ffffffff,3.0,0.0,0.0
847a41bffffffff,1.0,0.0,1.0
847a41dffffffff,3.0,0.0,0.0
847a457ffffffff,3.0,0.0,0.0
847a48bffffffff,1.0,0.0,0.0
847a4dbffffffff,2.0,0.0,0.0
847a609ffffffff,13.0,0.0,0.0
847a61dffffffff,3.0,0.0,0.0
847a651ffffffff,7.0,0.0,0.0
847a68bffffffff,2.0,0.0,0.0
847a6adffffffff,1.0,0.0,0.0
847a6d1ffffffff,3.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,5.0,0.0,0.0
847a6e9ffffffff,2.0,0.0,0.0
847a6edffffffff,1.0,0.0,0.0
847b4b9ffffffff,1.0,0.0,0.0
8482d1dffffffff,8.0,8.0,0.0
849702bffffffff,2.0,0.0,2.0
849703dffffffff,4.0,0.0,4.0
8497119ffffffff,3.0,0.0,3.0
84bcd35ffffffff,2.0,0.0,0.0
84bcd63ffffffff,1.0,0.0,1.0
