cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
840e497ffffffff,3.0,0.0,0.0
840e4dbffffffff,2.0,0.0,0.0
840ec95ffffffff,3.0,0.0,0.0
840ecc1ffffffff,4.0,0.0,0.0
84124adffffffff,2.0,0.0,0.0
8412537ffffffff,13.0,0.0,0.0
84125dbffffffff,2.0,0.0,0.0
84125e5ffffffff,1.0,0.0,0.0
8412ddbffffffff,51.0,0.0,0.0
8412ecdffffffff,33.0,0.0,0.0
841aa01ffffffff,2.0,0.0,0.0
841aa21ffffffff,3.0,0.0,0.0
841aa47ffffffff,1.0,0.0,0.0
841aa6bffffffff,2.0,0.0,0.0
841b9a9ffffffff,8.0,0.0,0.0
8426039ffffffff,2.0,2.0,0.0
8426055ffffffff,1.0,0.0,0.0
8426085ffffffff,2.0,2.0,0.0
8426099ffffffff,1.0,0.0,0.0
84260a1ffffffff,20.0,20.0,0.0
84260a9ffffffff,3.0,2.0,0.0
84260adffffffff,2.0,2.0,0.0
84260b9ffffffff,5.0,4.0,0.0
84260ebffffffff,2.0,1.0,0.0
8426161ffffffff,2.0,0.0,0.0
8426165ffffffff,12.0,0.0,0.0
842618bffffffff,1.0,1.0,0.0
8426191ffffffff,6.0,6.0,0.0
8426195ffffffff,2.0,2.0,0.0
8426199ffffffff,21.0,21.0,0.0
842619dffffffff,3.0,3.0,0.0
84261adffffffff,2.0,2.0,0.0
84261b9ffffffff,4.0,4.0,0.0
84261d3ffffffff,6.0,6.0,0.0
8426261ffffffff,6.0,0.0,0.0
8426263ffffffff,4.0,0.0,0.0
842626dffffffff,2.0,0.0,0.0
8426289ffffffff,3.0,3.0,0.0
842629bffffffff,2.0,0.0,0.0
84262cdffffffff,4.0,0.0,0.0
8426369ffffffff,4.0,0.0,0.0
8426405ffffffff,3.0,0.0,0.0
8426409ffffffff,2.0,0.0,0.0
842640dffffffff,8.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
842642dffffffff,1.0,0.0,0.0
8426439ffffffff,1.0,0.0,0.0
8426443ffffffff,4.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0
8426463ffffffff,30.0,1.0,0.0
8426465ffffffff,1.0,0.0,0.0
8426467ffffffff,2.0,0.0,0.0
842646bffffffff,6.0,0.0,0.0
8426481ffffffff,1.0,1.0,0.0
8426483ffffffff,5.0,5.0,0.0
8426487ffffffff,1.0,0.0,0.0
8426489ffffffff,4.0,0.0,0.0
842648bffffffff,2.0,0.0,0.0
842648dffffffff,4.0,4.0,0.0
8426493ffffffff,9.0,0.0,0.0
842649dffffffff,10.0,9.0,0.0
84264a7ffffffff,9.0,0.0,0.0
84264abffffffff,2.0,2.0,0.0
84264adffffffff,3.0,3.0,0.0
84264b9ffffffff,5.0,3.0,0.0
84264c3ffffffff,6.0,2.0,0.0
84264c7ffffffff,31.0,30.0,0.0
84264d1ffffffff,9.0,9.0,0.0
84264d5ffffffff,3.0,3.0,0.0
84264d9ffffffff,6.0,4.0,0.0
84264dbffffffff,2.0,2.0,0.0
84264ddffffffff,2.0,0.0,0.0
84264e1ffffffff,7.0,0.0,0.0
84264e5ffffffff,13.0,9.0,0.0
84264e7ffffffff,3.0,3.0,0.0
84264edffffffff,1.0,0.0,0.0
8426517ffffffff,2.0,0.0,0.0
842651bffffffff,1.0,0.0,0.0
842651dffffffff,1.0,0.0,0.0
8426521ffffffff,1.0,0.0,0.0
8426533ffffffff,1.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0
8426551ffffffff,1.0,0.0,0.0
8426555ffffffff,10.0,0.0,0.0
8426557ffffffff,2.0,0.0,0.0
8426563ffffffff,2.0,0.0,0.0
8426565ffffffff,6.0,2.0,0.0
8426567ffffffff,14.0,0.0,0.0
842656dffffffff,1.0,0.0,0.0
8426599ffffffff,3.0,1.0,0.0
842659bffffffff,11.0,3.0,0.0
84265a3ffffffff,2.0,0.0,0.0
84265d3ffffffff,2.0,2.0,0.0
84265d5ffffffff,2.0,0.0,0.0
84265d9ffffffff,1.0,0.0,0.0
84265dbffffffff,8.0,8.0,0.0
842662dffffffff,1.0,0.0,0.0
8426645ffffffff,3.0,0.0,0.0
8426649ffffffff,9.0,0.0,0.0
842664dffffffff,2.0,2.0,0.0
8426669ffffffff,1.0,0.0,0.0
842669bffffffff,10.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0
8426723ffffffff,3.0,3.0,0.0
8426765ffffffff,2.0,0.0,0.0
842681bffffffff,29.0,0.0,0.0
8426853ffffffff,16.0,0.0,0.0
8426859ffffffff,3.0,0.0,0.0
8426881ffffffff,2.0,0.0,0.0
8426891ffffffff,4.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0
8426899ffffffff,3.0,0.0,0.0
842689dffffffff,16.0,0.0,0.0
84268c7ffffffff,4.0,0.0,0.0
84268cdffffffff,17.0,0.0,0.0
84268d3ffffffff,2.0,0.0,0.0
84268d5ffffffff,2.0,0.0,0.0
8426995ffffffff,6.0,0.0,0.0
8426a13ffffffff,2.0,0.0,0.0
8426a17ffffffff,10.0,0.0,0.0
8426a19ffffffff,2.0,0.0,0.0
8426a8bffffffff,8.0,0.0,0.0
8426a95ffffffff,2.0,0.0,0.0
8426a97ffffffff,1.0,0.0,0.0
8426aabffffffff,42.0,1.0,0.0
8426aadffffffff,17.0,0.0,0.0
8426c49ffffffff,2.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0
8426c9dffffffff,1.0,0.0,0.0
8426ccbffffffff,1.0,0.0,0.0
8426d15ffffffff,2.0,0.0,0.0
8426d2dffffffff,4.0,0.0,0.0
8426d35ffffffff,2.0,0.0,0.0
8426d45ffffffff,7.0,0.0,0.0
8426d67ffffffff,12.0,0.0,0.0
8426d9dffffffff,2.0,2.0,0.0
8426de7ffffffff,3.0,0.0,0.0
8426e21ffffffff,6.0,0.0,0.0
8426e2bffffffff,1.0,0.0,0.0
8426e2dffffffff,3.0,0.0,0.0
8426e43ffffffff,2.0,0.0,0.0
8426e57ffffffff,1.0,0.0,0.0
8426e5bffffffff,44.0,0.0,0.0
8426eb9ffffffff,2.0,0.0,0.0
8426ec9ffffffff,3.0,0.0,0.0
8426ecdffffffff,2.0,0.0,0.0
8426ed3ffffffff,5.0,0.0,0.0
8426eddffffffff,4.0,0.0,0.0
8426f0dffffffff,2.0,0.0,0.0
8426f13ffffffff,1.0,0.0,0.0
8426f25ffffffff,68.0,0.0,0.0
8426f27ffffffff,1.0,0.0,0.0
8426f2bffffffff,3.0,0.0,0.0
8426f2dffffffff,2.0,0.0,0.0
8426f6dffffffff,2.0,0.0,0.0
8427097ffffffff,2.0,0.0,0.0
84270d3ffffffff,2.0,0.0,0.0
84270e1ffffffff,6.0,0.0,0.0
842719dffffffff,2.0,0.0,0.0
84271abffffffff,1.0,0.0,0.0
84271c9ffffffff,38.0,1.0,0.0
8427405ffffffff,2.0,0.0,0.0
8427409ffffffff,4.0,0.0,0.0
8427411ffffffff,16.0,0.0,0.0
8427417ffffffff,2.0,0.0,0.0
8427419ffffffff,33.0,0.0,0.0
842741bffffffff,15.0,0.0,0.0
842741dffffffff,3.0,0.0,0.0
8427423ffffffff,2.0,0.0,0.0
8427445ffffffff,3.0,0.0,0.0
842745bffffffff,5.0,0.0,0.0
8427481ffffffff,87.0,0.0,0.0
8427483ffffffff,3.0,0.0,0.0
8427485ffffffff,38.0,0.0,0.0
8427487ffffffff,28.0,0.0,0.0
8427489ffffffff,8.0,0.0,0.0
842748bffffffff,19.0,0.0,0.0
842748dffffffff,965.0,0.0,0.0
8427491ffffffff,15.0,0.0,0.0
8427499ffffffff,225.0,0.0,0.0
842749bffffffff,14.0,0.0,0.0
842749dffffffff,44.0,2.0,0.0
84274a3ffffffff,5.0,0.0,0.0
84274abffffffff,77.0,0.0,0.0
84274b1ffffffff,3.0,0.0,0.0
84274b5ffffffff,97.0,0.0,0.0
84274bdffffffff,14.0,0.0,0.0
84274c1ffffffff,20.0,0.0,0.0
84274c5ffffffff,2.0,0.0,0.0
84274c7ffffffff,4.0,0.0,0.0
84274c9ffffffff,5.0,0.0,0.0
84274cbffffffff,42.0,0.0,0.0
84274cdffffffff,1.0,0.0,0.0
84274d1ffffffff,13.0,0.0,0.0
84274d3ffffffff,92.0,0.0,0.0
84274d5ffffffff,26.0,0.0,0.0
84274d7ffffffff,69.0,0.0,0.0
84274d9ffffffff,17.0,0.0,0.0
84274dbffffffff,114.0,0.0,0.0
84274ddffffffff,15.0,0.0,0.0
84274e1ffffffff,3.0,0.0,0.0
84274e3ffffffff,94.0,0.0,0.0
