cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
837286fffffffff,1.0,0.0,0.0,0.0,0.0
83728cfffffffff,1.0,0.0,0.0,0.0,0.0
83728efffffffff,21.0,0.0,0.0,0.0,0.0
837291fffffffff,12.0,0.0,0.0,0.0,0.0
83729dfffffffff,19.0,0.0,0.0,0.0,0.0
8372a0fffffffff,8.0,6.0,0.0,0.0,0.0
8372a2fffffffff,14.0,14.0,0.0,0.0,0.0
8372b0fffffffff,1.0,0.0,0.0,0.0,0.0
8372c2fffffffff,3.0,0.0,0.0,0.0,0.0
8372d1fffffffff,1.0,0.0,0.0,0.0,0.0
8372d2fffffffff,90.0,58.0,0.0,0.0,0.0
8372d4fffffffff,2.0,0.0,0.0,0.0,0.0
8372d5fffffffff,39.0,3.0,0.0,0.0,0.0
8372d9fffffffff,24.0,20.0,0.0,0.0,0.0
8372dafffffffff,24.0,11.0,0.0,0.0,0.0
8372dbfffffffff,113.0,2.0,0.0,0.0,0.0
8372ddfffffffff,3.0,1.0,0.0,0.0,0.0
8372defffffffff,9.0,2.0,0.0,0.0,0.0
8372f2fffffffff,248.0,137.0,0.0,0.0,0.0
8372f3fffffffff,150.0,56.0,0.0,0.0,0.0
837398fffffffff,24.0,13.0,0.0,0.0,0.0
83739afffffffff,454.0,219.0,0.0,0.0,0.0
83739bfffffffff,326.0,153.0,0.0,0.0,0.0
839404fffffffff,19.0,0.0,0.0,0.0,3.0
839421fffffffff,70.0,0.0,0.0,0.0,22.0
839423fffffffff,18.0,0.0,0.0,0.0,6.0
839426fffffffff,5.0,0.0,0.0,0.0,0.0
839428fffffffff,4.0,0.0,0.0,0.0,4.0
83942cfffffffff,160.0,0.0,0.0,0.0,60.0
83942dfffffffff,56.0,0.0,0.0,0.0,22.0
839431fffffffff,14.0,0.0,0.0,0.0,4.0
83944bfffffffff,2.0,0.0,0.0,0.0,0.0
839450fffffffff,423.0,0.0,0.0,110.0,0.0
839451fffffffff,450.0,0.0,0.0,114.0,0.0
839453fffffffff,19.0,0.0,0.0,2.0,0.0
839455fffffffff,9.0,0.0,0.0,0.0,0.0
839458fffffffff,16.0,0.0,0.0,0.0,0.0
83945afffffffff,4.0,0.0,0.0,0.0,0.0
83945cfffffffff,271.0,0.0,0.0,68.0,0.0
83945dfffffffff,2.0,0.0,0.0,2.0,0.0
83945efffffffff,85.0,0.0,0.0,12.0,0.0
8394e8fffffffff,4.0,0.0,0.0,0.0,0.0
8394edfffffffff,38.0,0.0,0.0,6.0,0.0
839512fffffffff,15.0,0.0,0.0,0.0,0.0
839518fffffffff,90.0,0.0,0.0,0.0,36.0
83951afffffffff,84.0,0.0,0.0,0.0,27.0
83951bfffffffff,4.0,0.0,0.0,0.0,2.0
83951efffffffff,185.0,0.0,0.0,0.0,30.0
839552fffffffff,2.0,0.0,0.0,0.0,2.0
839553fffffffff,30.0,0.0,0.0,0.0,0.0
83956dfffffffff,33.0,20.0,0.0,0.0,0.0
8395a5fffffffff,7.0,0.0,0.0,0.0,3.0
8395a9fffffffff,123.0,0.0,0.0,0.0,60.0
8395adfffffffff,9.0,0.0,0.0,0.0,6.0
839c00fffffffff,181.0,0.0,102.0,0.0,0.0
839c01fffffffff,13.0,0.0,0.0,0.0,0.0
839c05fffffffff,661.0,0.0,245.0,0.0,0.0
839c0afffffffff,24.0,0.0,15.0,0.0,0.0
839c0efffffffff,29.0,0.0,5.0,0.0,0.0
839c19fffffffff,599.0,0.0,250.0,0.0,0.0
839c20fffffffff,281.0,0.0,124.0,0.0,0.0
839c21fffffffff,12.0,0.0,6.0,0.0,0.0
839c23fffffffff,3223.0,0.0,913.0,0.0,0.0
839c25fffffffff,126.0,0.0,37.0,0.0,0.0
839c49fffffffff,1.0,0.0,0.0,1.0,0.0
839c5afffffffff,13.0,0.0,0.0,0.0,0.0
839c83fffffffff,2.0,0.0,0.0,0.0,0.0
839c84fffffffff,2.0,0.0,0.0,0.0,0.0
839c85fffffffff,42.0,25.0,0.0,0.0,0.0
839c8afffffffff,4.0,4.0,0.0,0.0,0.0
839c8bfffffffff,6.0,0.0,0.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0,0.0,0.0
839c99fffffffff,390.0,11.0,0.0,0.0,0.0
839c9dfffffffff,28.0,18.0,0.0,0.0,0.0
839ca6fffffffff,62.0,3.0,0.0,0.0,0.0
839caafffffffff,78.0,46.0,0.0,0.0,0.0
839caefffffffff,383.0,224.0,0.0,0.0,0.0
839cb0fffffffff,2.0,0.0,0.0,0.0,0.0
