cell_id,Psophodes nigrogularis,Psophodes nigrogularis nigrogularis/oberon,Psophodes nigrogularis leucogaster/lashmari
83b910fffffffff,1.0,0.0,0.0
83b911fffffffff,32.0,0.0,13.0
83b914fffffffff,12.0,0.0,2.0
83b915fffffffff,57.0,0.0,10.0
83b933fffffffff,3.0,0.0,0.0
83c986fffffffff,45.0,15.0,0.0
83c995fffffffff,2.0,2.0,0.0
83c9b0fffffffff,24.0,6.0,0.0
83c9b1fffffffff,363.0,126.0,0.0
83c9b2fffffffff,25.0,4.0,0.0
83c9b3fffffffff,132.0,39.0,0.0
83c9b6fffffffff,7.0,2.0,0.0
