cell_id,Xiphorhynchus ocellatus,Xiphorhynchus ocellatus [chunchotambo Group],Xiphorhynchus ocellatus beauperthuysii/lineatocapilla,Xiphorhynchus ocellatus ocellatus/perplexus
836641fffffffff,43.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0,0.0
836656fffffffff,4.0,0.0,0.0,0.0
83665afffffffff,53.0,0.0,0.0,0.0
83665bfffffffff,19.0,0.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0,0.0
836673fffffffff,7.0,0.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0,0.0
8366c2fffffffff,63.0,0.0,0.0,0.0
8366c3fffffffff,2.0,2.0,0.0,0.0
8366cefffffffff,2.0,0.0,0.0,0.0
8366d1fffffffff,169.0,2.0,0.0,0.0
8366d8fffffffff,28.0,14.0,0.0,0.0
8366dafffffffff,4.0,0.0,0.0,0.0
8366dcfffffffff,47.0,5.0,0.0,0.0
8366ddfffffffff,17.0,0.0,0.0,0.0
8366defffffffff,110.0,12.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0,0.0
8366e9fffffffff,3.0,0.0,0.0,0.0
8366eafffffffff,5.0,0.0,0.0,0.0
8366ecfffffffff,19.0,0.0,0.0,0.0
8366eefffffffff,3.0,0.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0,0.0
838a11fffffffff,1.0,0.0,0.0,0.0
838a41fffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,33.0,0.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0,0.0
838a52fffffffff,1.0,0.0,0.0,0.0
838a56fffffffff,2.0,0.0,1.0,0.0
838a63fffffffff,16.0,0.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,13.0,0.0,0.0,0.0
838a6bfffffffff,3.0,0.0,0.0,0.0
838a6dfffffffff,71.0,5.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0,0.0
838a81fffffffff,18.0,0.0,0.0,0.0
838a83fffffffff,2.0,0.0,0.0,0.0
838aa8fffffffff,26.0,0.0,0.0,0.0
838aa9fffffffff,1.0,0.0,0.0,0.0
838aaafffffffff,50.0,0.0,0.0,0.0
838aabfffffffff,3.0,0.0,0.0,0.0
838aacfffffffff,3.0,0.0,0.0,0.0
838aadfffffffff,9.0,0.0,0.0,0.0
838ae5fffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,70.0,0.0,35.0,0.0
838af1fffffffff,9.0,0.0,0.0,0.0
838af2fffffffff,1.0,0.0,0.0,0.0
838af4fffffffff,25.0,0.0,17.0,0.0
838af6fffffffff,6.0,0.0,2.0,0.0
838b04fffffffff,2.0,2.0,0.0,0.0
838b0cfffffffff,4.0,0.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0,0.0
838b20fffffffff,12.0,2.0,0.0,0.0
838b21fffffffff,10.0,3.0,0.0,0.0
838b22fffffffff,106.0,46.0,0.0,0.0
838b23fffffffff,1.0,1.0,0.0,0.0
838b29fffffffff,2.0,0.0,0.0,0.0
838b2afffffffff,1.0,1.0,0.0,0.0
838b2cfffffffff,8.0,1.0,0.0,0.0
838b2dfffffffff,5.0,0.0,0.0,0.0
838b2efffffffff,7.0,5.0,0.0,0.0
838b31fffffffff,1.0,0.0,0.0,0.0
838b42fffffffff,1.0,0.0,0.0,0.0
838b44fffffffff,14.0,2.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0,0.0
838b56fffffffff,6.0,0.0,0.0,0.0
838b61fffffffff,40.0,4.0,0.0,0.0
838b62fffffffff,5.0,0.0,0.0,0.0
838b63fffffffff,38.0,0.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0,0.0
838b6cfffffffff,2.0,0.0,0.0,0.0
838b6efffffffff,31.0,0.0,0.0,0.0
838b71fffffffff,21.0,0.0,0.0,0.0
838b74fffffffff,44.0,19.0,0.0,0.0
838b75fffffffff,6.0,2.0,0.0,0.0
838b76fffffffff,4.0,0.0,0.0,0.0
838e64fffffffff,16.0,0.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0,0.0
838f40fffffffff,46.0,15.0,0.0,0.0
838f42fffffffff,4.0,4.0,0.0,0.0
838f43fffffffff,50.0,21.0,0.0,0.0
838f44fffffffff,14.0,0.0,0.0,0.0
838f46fffffffff,116.0,60.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0,0.0
838f4bfffffffff,8.0,0.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0,0.0
838f5dfffffffff,8.0,0.0,0.0,0.0
838f61fffffffff,3.0,0.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0,0.0
838f65fffffffff,86.0,55.0,0.0,0.0
838f6efffffffff,2.0,0.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,63.0,13.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0,0.0
838f76fffffffff,3.0,0.0,0.0,0.0
83b324fffffffff,15.0,7.0,0.0,0.0
83b325fffffffff,9.0,3.0,0.0,0.0
83b366fffffffff,2.0,2.0,0.0,0.0
