cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
831ea9fffffffff,4.0,2.0,0.0,0.0,0.0
831eabfffffffff,3.0,2.0,0.0,0.0,0.0
831eacfffffffff,1.0,0.0,0.0,0.0,0.0
831eadfffffffff,25.0,0.0,0.0,0.0,0.0
831eaefffffffff,2.0,0.0,0.0,0.0,0.0
831eb0fffffffff,18.0,4.0,0.0,0.0,0.0
831eb2fffffffff,2.0,0.0,0.0,0.0,0.0
831eb3fffffffff,2.0,2.0,0.0,0.0,0.0
831eb4fffffffff,52.0,0.0,0.0,0.0,0.0
831eb5fffffffff,6.0,1.0,0.0,0.0,0.0
831ec0fffffffff,24.0,6.0,0.0,0.0,0.0
831ec1fffffffff,171.0,10.0,0.0,0.0,0.0
831ec2fffffffff,170.0,12.0,0.0,0.0,0.0
831ec3fffffffff,31.0,0.0,0.0,0.0,0.0
831ec4fffffffff,145.0,5.0,0.0,0.0,0.0
831ec5fffffffff,2.0,0.0,0.0,0.0,0.0
831ec6fffffffff,5.0,0.0,0.0,0.0,0.0
831ec8fffffffff,2.0,0.0,0.0,0.0,0.0
831ec9fffffffff,76.0,5.0,0.0,0.0,0.0
831ecafffffffff,32.0,0.0,0.0,0.0,0.0
831ecbfffffffff,64.0,3.0,0.0,0.0,0.0
831eccfffffffff,25.0,6.0,0.0,0.0,0.0
831ecdfffffffff,22.0,2.0,0.0,0.0,0.0
831ecefffffffff,38.0,5.0,0.0,0.0,0.0
831ed0fffffffff,3.0,0.0,0.0,0.0,0.0
831ed1fffffffff,24.0,0.0,0.0,0.0,0.0
831ed2fffffffff,4.0,0.0,0.0,0.0,0.0
831ed3fffffffff,5.0,1.0,0.0,0.0,0.0
831ed4fffffffff,7.0,0.0,0.0,0.0,0.0
831ed5fffffffff,25.0,0.0,0.0,0.0,0.0
831ed6fffffffff,3.0,1.0,0.0,0.0,0.0
831ed9fffffffff,38.0,7.0,0.0,0.0,0.0
831edafffffffff,43.0,0.0,0.0,0.0,0.0
831edcfffffffff,41.0,0.0,0.0,0.0,0.0
831edefffffffff,103.0,2.0,0.0,0.0,0.0
831ee3fffffffff,8.0,0.0,0.0,0.0,0.0
831ee5fffffffff,1.0,0.0,0.0,0.0,0.0
831ee6fffffffff,34.0,0.0,0.0,0.0,0.0
831ee8fffffffff,61.0,32.0,0.0,0.0,0.0
831ee9fffffffff,16.0,3.0,0.0,0.0,0.0
831eebfffffffff,79.0,20.0,0.0,0.0,0.0
831eecfffffffff,5.0,0.0,0.0,0.0,0.0
831eedfffffffff,9.0,2.0,0.0,0.0,0.0
831eeefffffffff,12.0,0.0,0.0,0.0,0.0
831ef0fffffffff,4.0,0.0,0.0,0.0,0.0
831ef2fffffffff,14.0,0.0,0.0,0.0,0.0
831ef3fffffffff,6.0,0.0,0.0,0.0,0.0
831ef5fffffffff,32.0,0.0,0.0,0.0,0.0
831ef6fffffffff,2.0,2.0,0.0,0.0,0.0
831f53fffffffff,4.0,0.0,0.0,0.0,0.0
831f80fffffffff,7.0,0.0,0.0,0.0,0.0
