cell_id,Dessonornis anomalus,Dessonornis anomalus grotei,Dessonornis anomalus mbuluensis,Dessonornis anomalus [anomalus Group]
829697fffffffff,6.0,0.0,3.0,1.0
8296a7fffffffff,1.0,0.0,0.0,0.0
