cell_id,Poodytes punctatus,Poodytes punctatus [punctatus Group],Poodytes punctatus caudatus
83bb08fffffffff,21.0,0.0,0.0
83bb09fffffffff,183.0,0.0,0.0
83bb0afffffffff,10.0,0.0,0.0
83bb0bfffffffff,21.0,0.0,0.0
83bb0cfffffffff,5.0,0.0,0.0
83bb0dfffffffff,39.0,0.0,0.0
83bb29fffffffff,276.0,0.0,0.0
83bb2bfffffffff,59.0,0.0,0.0
83bb50fffffffff,358.0,0.0,0.0
83bb51fffffffff,32.0,0.0,0.0
83bb52fffffffff,37.0,0.0,0.0
83bb53fffffffff,42.0,3.0,0.0
83bb54fffffffff,6.0,0.0,0.0
83bb56fffffffff,64.0,0.0,0.0
83bb58fffffffff,8.0,0.0,0.0
83bb5efffffffff,39.0,0.0,0.0
83bb72fffffffff,39.0,0.0,0.0
83bb74fffffffff,67.0,0.0,0.0
83bb76fffffffff,8.0,0.0,0.0
83da81fffffffff,4.0,0.0,0.0
83da82fffffffff,5.0,0.0,0.0
83da83fffffffff,12.0,0.0,0.0
83da84fffffffff,111.0,0.0,0.0
83da85fffffffff,185.0,0.0,0.0
83da8cfffffffff,14.0,0.0,0.0
83da8efffffffff,54.0,0.0,0.0
83da90fffffffff,21.0,0.0,0.0
83da91fffffffff,146.0,0.0,0.0
83da92fffffffff,54.0,0.0,0.0
83da9cfffffffff,1.0,0.0,0.0
83daa9fffffffff,51.0,0.0,10.0
83daaafffffffff,302.0,0.0,0.0
