cell_id,Melanochlora sultanea,Melanochlora sultanea [sultanea Group],Melanochlora sultanea gayeti
823c07fffffffff,3.0,0.0,0.0
823c0ffffffffff,126.0,0.0,0.0
823c17fffffffff,1.0,0.0,0.0
823c1ffffffffff,416.0,0.0,0.0
823c57fffffffff,358.0,0.0,0.0
823c5ffffffffff,1361.0,0.0,0.0
823cc7fffffffff,23.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0
823ce7fffffffff,602.0,32.0,0.0
823ceffffffffff,154.0,0.0,0.0
82404ffffffffff,60.0,0.0,0.0
824067fffffffff,10.0,0.0,0.0
82406ffffffffff,5.0,0.0,0.0
824147fffffffff,112.0,10.0,0.0
82414ffffffffff,5.0,0.0,0.0
824157fffffffff,6.0,0.0,0.0
82415ffffffffff,67.0,7.0,0.0
824167fffffffff,60.0,5.0,17.0
82416ffffffffff,70.0,17.0,2.0
824177fffffffff,158.0,27.0,0.0
824187fffffffff,28.0,0.0,0.0
826417fffffffff,904.0,202.0,0.0
826437fffffffff,21.0,5.0,0.0
826487fffffffff,10.0,3.0,0.0
82648ffffffffff,6.0,0.0,0.0
826497fffffffff,47.0,9.0,0.0
82649ffffffffff,6.0,4.0,0.0
8264a7fffffffff,34.0,2.0,0.0
8264b7fffffffff,52.0,3.0,0.0
826507fffffffff,524.0,37.0,0.0
82651ffffffffff,83.0,31.0,0.0
82658ffffffffff,15.0,2.0,0.0
82659ffffffffff,235.0,54.0,0.0
826937fffffffff,84.0,0.0,28.0
