cell_id,Dendropicos griseocephalus,Dendropicos griseocephalus ruwenzori,Dendropicos griseocephalus kilimensis,Dendropicos griseocephalus griseocephalus
836ac1fffffffff,3.0,0.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,152.0,0.0,0.0,0.0
836adefffffffff,61.0,0.0,0.0,0.0
837a65fffffffff,1.0,0.0,0.0,0.0
837b4bfffffffff,74.0,0.0,0.0,0.0
838312fffffffff,1.0,1.0,0.0,0.0
838315fffffffff,2.0,0.0,0.0,0.0
838326fffffffff,3.0,0.0,0.0,0.0
838332fffffffff,2.0,0.0,0.0,0.0
838333fffffffff,12.0,0.0,0.0,0.0
839600fffffffff,7.0,1.0,0.0,0.0
839601fffffffff,7.0,0.0,0.0,0.0
839602fffffffff,11.0,4.0,0.0,0.0
839608fffffffff,1.0,0.0,0.0,0.0
839609fffffffff,2.0,0.0,0.0,0.0
83960bfffffffff,4.0,0.0,0.0,0.0
83960efffffffff,1.0,1.0,0.0,0.0
839613fffffffff,1.0,0.0,0.0,0.0
839621fffffffff,2.0,0.0,0.0,0.0
839623fffffffff,6.0,0.0,0.0,0.0
839628fffffffff,4.0,0.0,0.0,0.0
83962afffffffff,1.0,0.0,0.0,0.0
83962bfffffffff,6.0,0.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0,0.0
8396a5fffffffff,13.0,2.0,0.0,0.0
8396b0fffffffff,6.0,0.0,0.0,0.0
8396b1fffffffff,3.0,0.0,0.0,0.0
8396b2fffffffff,8.0,0.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0,0.0
839703fffffffff,4.0,0.0,0.0,0.0
839728fffffffff,3.0,0.0,0.0,0.0
83972dfffffffff,163.0,0.0,0.0,37.0
839751fffffffff,21.0,0.0,0.0,0.0
83975cfffffffff,16.0,0.0,0.0,0.0
839789fffffffff,13.0,0.0,0.0,0.0
83ad36fffffffff,153.0,0.0,0.0,41.0
83bc09fffffffff,17.0,0.0,0.0,0.0
83bc0bfffffffff,2.0,0.0,0.0,0.0
83bc19fffffffff,9.0,0.0,0.0,1.0
83bc1bfffffffff,13.0,0.0,0.0,0.0
83bc40fffffffff,8.0,0.0,0.0,1.0
83bc44fffffffff,32.0,0.0,0.0,3.0
83bc45fffffffff,128.0,0.0,0.0,23.0
83bc46fffffffff,7.0,0.0,0.0,0.0
83bc4dfffffffff,3.0,0.0,0.0,2.0
83bc54fffffffff,7.0,0.0,0.0,0.0
83bc69fffffffff,33.0,0.0,0.0,11.0
83bc6afffffffff,111.0,0.0,0.0,35.0
83bc6bfffffffff,5.0,0.0,0.0,0.0
83bc71fffffffff,2.0,0.0,0.0,0.0
83bc72fffffffff,8.0,0.0,0.0,0.0
83bc73fffffffff,23.0,0.0,0.0,2.0
83bcc4fffffffff,17.0,0.0,0.0,4.0
83bcc6fffffffff,5.0,0.0,0.0,2.0
83bcd0fffffffff,135.0,0.0,0.0,43.0
83bcd1fffffffff,2.0,0.0,0.0,2.0
83bcd2fffffffff,1.0,0.0,0.0,0.0
83bcd3fffffffff,7.0,0.0,0.0,0.0
83bcd4fffffffff,12.0,0.0,0.0,0.0
83bcd5fffffffff,4.0,0.0,0.0,0.0
83bce2fffffffff,74.0,0.0,0.0,28.0
83bce6fffffffff,91.0,0.0,0.0,15.0
83bcf0fffffffff,82.0,0.0,0.0,15.0
83bcf1fffffffff,2.0,0.0,0.0,0.0
83bcf3fffffffff,5.0,0.0,0.0,2.0
83bcf4fffffffff,14.0,0.0,0.0,8.0
83bcf5fffffffff,112.0,0.0,0.0,33.0
83bcf6fffffffff,2.0,0.0,0.0,0.0
