cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
844990dffffffff,2.0,0.0,0.0
8449911ffffffff,1.0,0.0,1.0
8449917ffffffff,6.0,0.0,6.0
8449963ffffffff,4.0,0.0,2.0
8466131ffffffff,2.0,0.0,0.0
84661b9ffffffff,1.0,0.0,1.0
8466b41ffffffff,2.0,0.0,0.0
8466b4dffffffff,13.0,0.0,7.0
8466c41ffffffff,41.0,0.0,0.0
8466c49ffffffff,1.0,0.0,0.0
8466d31ffffffff,18.0,0.0,1.0
8466dedffffffff,1.0,0.0,1.0
8466e03ffffffff,1.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0
84674edffffffff,1.0,0.0,1.0
8467519ffffffff,1.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0
846d05bffffffff,3.0,0.0,3.0
846d23bffffffff,6.0,0.0,4.0
846d2a9ffffffff,1.0,0.0,0.0
846d305ffffffff,5.0,0.0,4.0
846d30dffffffff,4.0,0.0,0.0
846d315ffffffff,6.0,0.0,0.0
846d32bffffffff,13.0,0.0,7.0
846d35dffffffff,5.0,5.0,0.0
846d363ffffffff,3.0,0.0,0.0
846d691ffffffff,3.0,0.0,1.0
846d695ffffffff,2.0,0.0,2.0
846d69bffffffff,1.0,0.0,1.0
846d69dffffffff,20.0,0.0,17.0
846d6e9ffffffff,24.0,0.0,0.0
848b6cdffffffff,3.0,0.0,3.0
848b6edffffffff,4.0,0.0,0.0
848f4b3ffffffff,2.0,0.0,0.0
848f547ffffffff,2.0,0.0,0.0
848f721ffffffff,2.0,0.0,2.0
848f727ffffffff,2.0,0.0,0.0
