cell_id,Dubusia taeniata,Dubusia taeniata carrikeri,Dubusia taeniata taeniata,Dubusia taeniata stictocephala
836608fffffffff,29.0,0.0,0.0,0.0
836609fffffffff,50.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,142.0,0.0,0.0,0.0
83660cfffffffff,44.0,0.0,2.0,0.0
83660dfffffffff,11.0,0.0,0.0,0.0
836618fffffffff,76.0,0.0,1.0,0.0
836619fffffffff,32.0,0.0,0.0,0.0
83661bfffffffff,185.0,0.0,4.0,0.0
83661dfffffffff,9.0,0.0,0.0,0.0
836620fffffffff,203.0,93.0,0.0,0.0
836621fffffffff,284.0,0.0,0.0,0.0
836623fffffffff,23.0,13.0,0.0,0.0
836629fffffffff,26.0,0.0,2.0,0.0
83662bfffffffff,12.0,0.0,3.0,0.0
83662dfffffffff,4.0,0.0,0.0,0.0
8366c2fffffffff,39.0,0.0,0.0,0.0
8366c4fffffffff,5.0,0.0,0.0,0.0
8366c6fffffffff,52.0,0.0,0.0,0.0
8366d1fffffffff,37.0,0.0,4.0,0.0
8366d3fffffffff,514.0,0.0,82.0,0.0
8366d5fffffffff,4.0,0.0,0.0,0.0
8366defffffffff,818.0,0.0,132.0,0.0
8366e0fffffffff,754.0,0.0,16.0,0.0
8366e2fffffffff,1.0,0.0,0.0,0.0
8366e4fffffffff,728.0,0.0,9.0,0.0
8366e5fffffffff,224.0,0.0,1.0,0.0
8366e6fffffffff,1777.0,0.0,94.0,0.0
8366f1fffffffff,19.0,0.0,0.0,0.0
8366f3fffffffff,4.0,0.0,0.0,0.0
8366f5fffffffff,94.0,0.0,0.0,0.0
83675afffffffff,15.0,0.0,0.0,0.0
838b61fffffffff,23.0,0.0,0.0,0.0
838b6cfffffffff,11.0,0.0,0.0,0.0
838e64fffffffff,11.0,0.0,0.0,0.0
838e65fffffffff,50.0,0.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0,0.0
838f29fffffffff,5.0,0.0,0.0,0.0
838f2dfffffffff,10.0,0.0,0.0,0.0
838f42fffffffff,20.0,0.0,0.0,0.0
838f4afffffffff,14.0,0.0,0.0,0.0
838f50fffffffff,3.0,0.0,0.0,0.0
838f54fffffffff,17.0,0.0,0.0,0.0
838f55fffffffff,42.0,0.0,0.0,0.0
838f59fffffffff,83.0,0.0,0.0,9.0
838f5cfffffffff,3.0,0.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,258.0,0.0,27.0,0.0
838f73fffffffff,3.0,0.0,0.0,0.0
838f76fffffffff,222.0,0.0,15.0,0.0
