cell_id,Psittacula longicauda,Psittacula longicauda tytleri,Psittacula longicauda nicobarica,Psittacula longicauda longicauda/defontainei,Psittacula longicauda modesta
82640ffffffffff,1721.0,0.0,0.0,0.0,0.0
82642ffffffffff,337.0,0.0,0.0,0.0,0.0
8264e7fffffffff,974.0,0.0,0.0,0.0,0.0
826507fffffffff,307.0,0.0,0.0,0.0,0.0
826527fffffffff,1675.0,0.0,0.0,0.0,0.0
82652ffffffffff,6.0,0.0,0.0,0.0,0.0
826817fffffffff,161.0,0.0,0.0,0.0,0.0
82681ffffffffff,852.0,0.0,0.0,0.0,0.0
82688ffffffffff,2.0,0.0,0.0,0.0,0.0
826897fffffffff,26.0,0.0,0.0,0.0,0.0
8268a7fffffffff,16.0,0.0,0.0,0.0,0.0
8268b7fffffffff,1.0,0.0,0.0,0.0,0.0
828c8ffffffffff,2.0,0.0,0.0,0.0,0.0
828c97fffffffff,18.0,0.0,0.0,0.0,0.0
828cd7fffffffff,4.0,0.0,0.0,0.0,0.0
828ce7fffffffff,5.0,0.0,0.0,0.0,0.0
