cell_id,Ceyx melanurus,Ceyx melanurus melanurus,Ceyx melanurus samarensis,Ceyx melanurus mindanensis
846841dffffffff,1.0,0.0,0.0,0.0
8468423ffffffff,1.0,0.0,0.0,0.0
846842bffffffff,10.0,0.0,0.0,6.0
846843dffffffff,1.0,0.0,0.0,0.0
84684e5ffffffff,32.0,0.0,0.0,4.0
846856bffffffff,6.0,0.0,0.0,1.0
846858bffffffff,5.0,0.0,0.0,3.0
84685c3ffffffff,8.0,0.0,0.0,3.0
84685e1ffffffff,2.0,0.0,0.0,0.0
846863bffffffff,1.0,0.0,1.0,0.0
8469439ffffffff,2.0,0.0,0.0,0.0
846948dffffffff,3.0,1.0,0.0,0.0
84694a9ffffffff,2.0,0.0,0.0,0.0
84694bdffffffff,1.0,0.0,0.0,0.0
84694c9ffffffff,1.0,1.0,0.0,0.0
84694cdffffffff,11.0,0.0,0.0,0.0
84694e1ffffffff,12.0,0.0,0.0,0.0
84694e3ffffffff,2.0,0.0,0.0,0.0
84694e7ffffffff,1.0,0.0,0.0,0.0
84694e9ffffffff,1.0,0.0,0.0,0.0
8469683ffffffff,1.0,0.0,0.0,0.0
8469685ffffffff,1.0,0.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0
84696bbffffffff,1.0,0.0,0.0,0.0
84696d7ffffffff,1.0,0.0,0.0,0.0
