cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
822a17fffffffff,265.0,22.0,0.0,0.0,0.0
822a1ffffffffff,1.0,0.0,0.0,0.0,0.0
822a37fffffffff,466.0,61.0,0.0,0.0,0.0
822a8ffffffffff,3.0,0.0,0.0,0.0,0.0
822aaffffffffff,784.0,103.0,0.0,0.0,0.0
822ad7fffffffff,78.0,1.0,0.0,0.0,0.0
822af7fffffffff,145.0,17.0,0.0,0.0,0.0
822b07fffffffff,30.0,0.0,0.0,0.0,0.0
822b0ffffffffff,7.0,0.0,0.0,0.0,0.0
822b1ffffffffff,13.0,0.0,0.0,0.0,0.0
822b37fffffffff,5.0,0.0,0.0,0.0,0.0
824417fffffffff,41.0,0.0,0.0,0.0,20.0
82441ffffffffff,22.0,0.0,0.0,11.0,0.0
824447fffffffff,10.0,0.0,0.0,0.0,0.0
824457fffffffff,14.0,0.0,0.0,6.0,0.0
824467fffffffff,1.0,0.0,0.0,0.0,0.0
82446ffffffffff,34.0,0.0,0.0,11.0,0.0
824477fffffffff,11.0,0.0,0.0,0.0,0.0
8244a7fffffffff,8.0,0.0,0.0,0.0,0.0
8244affffffffff,20.0,4.0,0.0,0.0,0.0
8244d7fffffffff,35.0,4.0,0.0,0.0,0.0
8244e7fffffffff,4.0,0.0,0.0,0.0,0.0
8244f7fffffffff,63.0,6.0,0.0,2.0,0.0
824897fffffffff,52.0,0.0,0.0,3.0,0.0
8248b7fffffffff,135.0,0.0,0.0,10.0,0.0
