cell_id,Campephilus principalis,Campephilus principalis principalis,Campephilus principalis bairdii
8444433ffffffff,1.0,1.0,0.0
8444ecbffffffff,1.0,0.0,0.0
8444eddffffffff,1.0,1.0,0.0
