cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
832604fffffffff,2.0,0.0,0.0
832608fffffffff,4.0,0.0,0.0
83260bfffffffff,18.0,0.0,0.0
83260dfffffffff,11.0,0.0,0.0
832640fffffffff,6.0,0.0,0.0
832643fffffffff,13.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0
832646fffffffff,44.0,0.0,0.0
832648fffffffff,8.0,0.0,0.0
832649fffffffff,2.0,0.0,0.0
832652fffffffff,16.0,0.0,0.0
832655fffffffff,5.0,0.0,0.0
83265bfffffffff,5.0,0.0,0.0
83265dfffffffff,15.0,0.0,0.0
832662fffffffff,5.0,0.0,0.0
83266afffffffff,2.0,0.0,0.0
83266bfffffffff,13.0,0.0,0.0
832671fffffffff,13.0,0.0,0.0
832674fffffffff,5.0,0.0,0.0
832685fffffffff,1.0,0.0,0.0
8326aafffffffff,4.0,0.0,2.0
8326c3fffffffff,2.0,0.0,0.0
8326c8fffffffff,2.0,0.0,0.0
8326cbfffffffff,131.0,0.0,0.0
8326defffffffff,2.0,0.0,0.0
8326e1fffffffff,1.0,0.0,0.0
8326e2fffffffff,3.0,0.0,0.0
8326f2fffffffff,6.0,0.0,0.0
832752fffffffff,2.0,0.0,0.0
832a10fffffffff,59.0,0.0,0.0
832a15fffffffff,1.0,0.0,0.0
832a84fffffffff,16.0,0.0,0.0
832aa8fffffffff,70.0,0.0,0.0
832aabfffffffff,17.0,0.0,0.0
832ab2fffffffff,23.0,0.0,0.0
832ad3fffffffff,2.0,0.0,0.0
832af6fffffffff,21.0,0.0,0.0
834412fffffffff,3.0,0.0,0.0
834413fffffffff,72.0,2.0,0.0
83441afffffffff,538.0,40.0,0.0
83441efffffffff,289.0,18.0,0.0
834440fffffffff,137.0,0.0,0.0
834445fffffffff,9.0,0.0,1.0
834446fffffffff,14.0,0.0,0.0
834448fffffffff,1.0,0.0,0.0
83444afffffffff,1.0,0.0,0.0
83444cfffffffff,2.0,0.0,0.0
834450fffffffff,2.0,0.0,2.0
834455fffffffff,8.0,0.0,0.0
834459fffffffff,4.0,0.0,0.0
83445dfffffffff,6.0,0.0,0.0
834469fffffffff,5.0,0.0,0.0
83446cfffffffff,33.0,0.0,15.0
83446dfffffffff,16.0,0.0,0.0
83446efffffffff,7.0,0.0,4.0
834471fffffffff,1.0,0.0,0.0
834473fffffffff,12.0,0.0,0.0
834485fffffffff,12.0,0.0,0.0
8344a1fffffffff,21.0,2.0,0.0
8344a3fffffffff,2.0,0.0,0.0
8344a8fffffffff,8.0,0.0,0.0
8344a9fffffffff,278.0,67.0,0.0
8344abfffffffff,15.0,0.0,0.0
8344acfffffffff,82.0,10.0,0.0
8344adfffffffff,21.0,8.0,0.0
8344aefffffffff,2.0,2.0,0.0
8344c2fffffffff,6.0,0.0,0.0
8344c4fffffffff,2.0,0.0,0.0
8344cafffffffff,1.0,0.0,0.0
8344d0fffffffff,26.0,0.0,0.0
8344d2fffffffff,16.0,0.0,0.0
8344d3fffffffff,7.0,0.0,0.0
8344d5fffffffff,117.0,0.0,0.0
8344dbfffffffff,3.0,0.0,0.0
8344e0fffffffff,17.0,2.0,0.0
8344e2fffffffff,7.0,0.0,0.0
8344e6fffffffff,6.0,0.0,0.0
8344ebfffffffff,3.0,0.0,0.0
8344f0fffffffff,474.0,0.0,0.0
8344f1fffffffff,2.0,0.0,0.0
8344f3fffffffff,17.0,0.0,0.0
8344f4fffffffff,158.0,10.0,0.0
8344f5fffffffff,23.0,0.0,0.0
834569fffffffff,2.0,0.0,0.0
834882fffffffff,2.0,0.0,0.0
834883fffffffff,6.0,0.0,0.0
834886fffffffff,5.0,0.0,5.0
834890fffffffff,5.0,0.0,0.0
834892fffffffff,3.0,0.0,1.0
834893fffffffff,3.0,0.0,1.0
834895fffffffff,12.0,0.0,2.0
834898fffffffff,17.0,0.0,0.0
83489afffffffff,5.0,0.0,0.0
83489cfffffffff,19.0,0.0,0.0
83489efffffffff,10.0,0.0,0.0
8348a2fffffffff,20.0,0.0,0.0
8348b1fffffffff,40.0,0.0,16.0
8348b2fffffffff,2.0,0.0,0.0
8348b3fffffffff,43.0,0.0,0.0
8348b5fffffffff,29.0,0.0,0.0
834998fffffffff,3.0,0.0,0.0
