cell_id,Himantopus mexicanus,Himantopus mexicanus mexicanus,Himantopus mexicanus knudseni,Himantopus mexicanus melanurus,Himantopus mexicanus mexicanus x melanurus
84124b5ffffffff,2.0,0.0,0.0,0.0,0.0
8412515ffffffff,4.0,0.0,0.0,0.0,0.0
8412539ffffffff,1.0,0.0,0.0,0.0,0.0
8412581ffffffff,2.0,0.0,0.0,0.0,0.0
8412583ffffffff,4.0,0.0,0.0,0.0,0.0
841258dffffffff,5.0,0.0,0.0,0.0,0.0
8412591ffffffff,4.0,0.0,0.0,0.0,0.0
8412597ffffffff,3.0,1.0,0.0,0.0,0.0
84125bbffffffff,1.0,0.0,0.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0,0.0,0.0
8412c11ffffffff,11.0,0.0,0.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0,0.0,0.0
8412c21ffffffff,10.0,0.0,0.0,0.0,0.0
8412c3bffffffff,3.0,0.0,0.0,0.0,0.0
8412c89ffffffff,2.0,0.0,0.0,0.0,0.0
8412c93ffffffff,7.0,0.0,0.0,0.0,0.0
8412c97ffffffff,37.0,0.0,0.0,0.0,0.0
8412cadffffffff,5.0,0.0,0.0,0.0,0.0
8412cc1ffffffff,24.0,0.0,0.0,0.0,0.0
8412cc9ffffffff,10.0,0.0,0.0,0.0,0.0
8412ccdffffffff,2.0,0.0,0.0,0.0,0.0
8412cd9ffffffff,2.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,4.0,0.0,0.0,0.0,0.0
8412cebffffffff,6.0,0.0,0.0,0.0,0.0
8412d0bffffffff,2.0,0.0,0.0,0.0,0.0
8412d17ffffffff,171.0,10.0,0.0,0.0,0.0
8412d19ffffffff,5.0,0.0,0.0,0.0,0.0
8412d39ffffffff,2.0,0.0,0.0,0.0,0.0
8412d47ffffffff,7.0,0.0,0.0,0.0,0.0
8412d87ffffffff,8.0,0.0,0.0,0.0,0.0
8412d89ffffffff,3.0,0.0,0.0,0.0,0.0
8412d95ffffffff,5.0,0.0,0.0,0.0,0.0
8412d9dffffffff,2.0,0.0,0.0,0.0,0.0
8412da5ffffffff,13.0,0.0,0.0,0.0,0.0
8412db3ffffffff,9.0,0.0,0.0,0.0,0.0
8412db5ffffffff,3.0,0.0,0.0,0.0,0.0
8412db7ffffffff,2.0,0.0,0.0,0.0,0.0
8412dc3ffffffff,4.0,0.0,0.0,0.0,0.0
8412dc9ffffffff,4.0,0.0,0.0,0.0,0.0
8412dd5ffffffff,51.0,2.0,0.0,0.0,0.0
8412dd7ffffffff,10.0,0.0,0.0,0.0,0.0
8412ddbffffffff,23.0,0.0,0.0,0.0,0.0
8412e13ffffffff,3.0,0.0,0.0,0.0,0.0
8412e8dffffffff,3.0,0.0,0.0,0.0,0.0
8412eb9ffffffff,3.0,0.0,0.0,0.0,0.0
8412ebbffffffff,2.0,0.0,0.0,0.0,0.0
8412ec1ffffffff,6.0,0.0,0.0,0.0,0.0
8412ec7ffffffff,6.0,0.0,0.0,0.0,0.0
8412ec9ffffffff,2.0,2.0,0.0,0.0,0.0
8412f6dffffffff,6.0,0.0,0.0,0.0,0.0
841a849ffffffff,3.0,0.0,0.0,0.0,0.0
841aa07ffffffff,11.0,2.0,0.0,0.0,0.0
842600bffffffff,4.0,0.0,0.0,0.0,0.0
8426017ffffffff,5.0,0.0,0.0,0.0,0.0
8426029ffffffff,2.0,0.0,0.0,0.0,0.0
842603bffffffff,2.0,0.0,0.0,0.0,0.0
8426051ffffffff,4.0,0.0,0.0,0.0,0.0
8426053ffffffff,7.0,0.0,0.0,0.0,0.0
8426063ffffffff,2.0,0.0,0.0,0.0,0.0
8426067ffffffff,6.0,4.0,0.0,0.0,0.0
8426085ffffffff,6.0,0.0,0.0,0.0,0.0
8426087ffffffff,2.0,0.0,0.0,0.0,0.0
84260a1ffffffff,1.0,0.0,0.0,0.0,0.0
