cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
8452867ffffffff,1.0,0.0,0.0
84541a3ffffffff,6.0,0.0,0.0
84541a5ffffffff,6.0,0.0,0.0
84541a7ffffffff,2.0,0.0,0.0
84541b5ffffffff,1.0,0.0,0.0
84541b9ffffffff,9.0,0.0,0.0
8454a93ffffffff,109.0,5.0,0.0
8454a9bffffffff,20.0,0.0,0.0
8454c4bffffffff,3.0,0.0,0.0
8454cc3ffffffff,1.0,0.0,0.0
8454e21ffffffff,9.0,0.0,0.0
8454e25ffffffff,6.0,0.0,0.0
8454e27ffffffff,1.0,0.0,0.0
8454e29ffffffff,2.0,0.0,0.0
8454e35ffffffff,3.0,0.0,0.0
8454e51ffffffff,10.0,2.0,0.0
8454e59ffffffff,2.0,0.0,0.0
8454e63ffffffff,1.0,0.0,0.0
8454eadffffffff,1.0,0.0,0.0
8454f0bffffffff,2.0,0.0,0.0
8454f0dffffffff,2.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f15ffffffff,6.0,0.0,0.0
8454f17ffffffff,1.0,0.0,0.0
8454f1bffffffff,25.0,0.0,0.0
8454f3bffffffff,3.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0
8454f45ffffffff,4.0,0.0,0.0
8454f47ffffffff,10.0,4.0,0.0
8454f49ffffffff,10.0,4.0,0.0
8454f4dffffffff,79.0,4.0,0.0
8454f51ffffffff,7.0,0.0,0.0
8454f53ffffffff,1.0,0.0,0.0
8454f57ffffffff,1.0,0.0,0.0
8454f6bffffffff,4.0,2.0,0.0
8458861ffffffff,4.0,0.0,0.0
84588d3ffffffff,2.0,0.0,0.0
845890bffffffff,10.0,0.0,0.0
845890dffffffff,17.0,0.0,0.0
8458947ffffffff,1.0,0.0,0.0
845894dffffffff,12.0,0.0,0.0
8458963ffffffff,4.0,0.0,0.0
8458969ffffffff,44.0,3.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458a6dffffffff,2.0,0.0,0.0
8458b27ffffffff,2.0,0.0,0.0
8458b51ffffffff,6.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458c8bffffffff,5.0,0.0,0.0
8458d13ffffffff,2.0,0.0,0.0
8458d1dffffffff,2.0,0.0,0.0
8458d23ffffffff,5.0,0.0,0.0
8458d31ffffffff,2.0,0.0,0.0
8458d33ffffffff,33.0,0.0,0.0
8458d35ffffffff,5.0,0.0,0.0
8458d37ffffffff,2.0,0.0,0.0
8458da3ffffffff,1.0,0.0,0.0
8458de5ffffffff,8.0,0.0,0.0
8458debffffffff,12.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0
8458f47ffffffff,2.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
846a109ffffffff,1.0,0.0,0.0
846a507ffffffff,2.0,0.0,0.0
846a5a9ffffffff,2.0,0.0,0.0
846a9e5ffffffff,10.0,0.0,0.0
846a9edffffffff,2.0,0.0,0.0
846ac03ffffffff,73.0,2.0,0.0
846ac09ffffffff,1.0,0.0,0.0
846ac0bffffffff,42.0,4.0,0.0
846ac11ffffffff,8.0,2.0,0.0
846ac15ffffffff,357.0,25.0,0.0
846ac19ffffffff,2.0,0.0,0.0
846ac1dffffffff,16.0,0.0,0.0
846ac31ffffffff,7.0,0.0,0.0
846ac33ffffffff,6.0,0.0,0.0
846ac35ffffffff,16.0,3.0,0.0
846ac39ffffffff,12.0,0.0,0.0
846ac3dffffffff,55.0,1.0,0.0
846ac89ffffffff,356.0,33.0,0.0
846ac8dffffffff,18.0,3.0,0.0
846ac93ffffffff,12.0,0.0,0.0
846ac9bffffffff,8.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846acc3ffffffff,18.0,0.0,0.0
846acc5ffffffff,5.0,0.0,0.0
846acc7ffffffff,28.0,0.0,0.0
846acc9ffffffff,2.0,0.0,0.0
846accbffffffff,13.0,0.0,0.0
846acd5ffffffff,22.0,7.0,0.0
846acdbffffffff,3.0,0.0,0.0
846ace1ffffffff,2.0,0.0,0.0
846ace3ffffffff,7.0,0.0,0.0
846ace5ffffffff,323.0,7.0,0.0
846acebffffffff,1.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,2.0,0.0,0.0
846ad8bffffffff,23.0,0.0,0.0
846ad99ffffffff,2.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0
846adc1ffffffff,207.0,11.0,0.0
846adc3ffffffff,7.0,0.0,0.0
846adc5ffffffff,102.0,0.0,0.0
846adc9ffffffff,121.0,0.0,0.0
846add5ffffffff,4.0,0.0,0.0
846add7ffffffff,13.0,0.0,0.0
846add9ffffffff,3.0,0.0,0.0
846adddffffffff,1.0,0.0,0.0
846ade3ffffffff,2.0,0.0,0.0
846ade5ffffffff,1.0,0.0,0.0
846ade7ffffffff,65.0,0.0,0.0
846ade9ffffffff,15.0,0.0,0.0
846adebffffffff,3.0,0.0,0.0
846ae0bffffffff,4.0,0.0,0.0
846ae85ffffffff,62.0,2.0,0.0
846ae87ffffffff,4.0,0.0,0.0
846aea1ffffffff,92.0,0.0,0.0
846aea3ffffffff,40.0,0.0,0.0
846aea5ffffffff,9.0,0.0,0.0
846aea9ffffffff,9.0,0.0,0.0
846aeabffffffff,12.0,0.0,0.0
846aeb5ffffffff,8.0,0.0,0.0
846aeb7ffffffff,3.0,0.0,0.0
846aee3ffffffff,6.0,0.0,0.0
846aee5ffffffff,3.0,0.0,0.0
8475083ffffffff,11.0,0.0,0.0
8475085ffffffff,143.0,7.0,0.0
8475087ffffffff,55.0,5.0,0.0
