cell_id,Pycnonotus simplex,Pycnonotus simplex simplex/halizonus,Pycnonotus simplex prillwitzi/perplexus
836430fffffffff,3.0,0.0,0.0
836431fffffffff,20.0,4.0,0.0
836432fffffffff,11.0,6.0,0.0
836433fffffffff,1.0,0.0,0.0
836434fffffffff,25.0,5.0,0.0
836435fffffffff,1.0,1.0,0.0
836500fffffffff,137.0,0.0,0.0
836501fffffffff,11.0,0.0,0.0
836502fffffffff,84.0,0.0,0.0
836503fffffffff,59.0,0.0,0.0
836504fffffffff,2.0,0.0,0.0
836505fffffffff,156.0,0.0,0.0
836506fffffffff,6.0,0.0,0.0
836518fffffffff,50.0,3.0,0.0
83651bfffffffff,104.0,23.0,0.0
83651cfffffffff,226.0,34.0,0.0
83651dfffffffff,20.0,0.0,0.0
836520fffffffff,70.0,0.0,0.0
836522fffffffff,174.0,0.0,0.0
836523fffffffff,6.0,0.0,0.0
836525fffffffff,29.0,0.0,0.0
836526fffffffff,678.0,0.0,0.0
83652cfffffffff,9.0,0.0,0.0
83652dfffffffff,2.0,0.0,0.0
836550fffffffff,1.0,0.0,0.0
836554fffffffff,6.0,0.0,0.0
836556fffffffff,2.0,0.0,0.0
836570fffffffff,3.0,0.0,0.0
836572fffffffff,1.0,0.0,0.0
836802fffffffff,17.0,0.0,0.0
836810fffffffff,16.0,0.0,5.0
836811fffffffff,80.0,0.0,3.0
836812fffffffff,30.0,0.0,1.0
836815fffffffff,8.0,0.0,0.0
836818fffffffff,294.0,0.0,31.0
83681afffffffff,32.0,0.0,0.0
83681cfffffffff,440.0,0.0,26.0
83681dfffffffff,6.0,0.0,0.0
83681efffffffff,17.0,0.0,0.0
836881fffffffff,1.0,0.0,0.0
836883fffffffff,1.0,0.0,0.0
836888fffffffff,5.0,0.0,0.0
83688afffffffff,8.0,0.0,7.0
83689afffffffff,4.0,0.0,0.0
8368a0fffffffff,1.0,0.0,0.0
8368a4fffffffff,3.0,0.0,1.0
8368a5fffffffff,18.0,0.0,2.0
8368a6fffffffff,4.0,0.0,0.0
8368abfffffffff,16.0,0.0,0.0
8368acfffffffff,10.0,0.0,1.0
8368b0fffffffff,1.0,0.0,0.0
8368b5fffffffff,7.0,0.0,0.0
83699afffffffff,14.0,0.0,3.0
838c10fffffffff,41.0,0.0,0.0
838c13fffffffff,20.0,0.0,0.0
838c1afffffffff,8.0,0.0,0.0
838c92fffffffff,2.0,0.0,0.0
838c96fffffffff,30.0,0.0,1.0
838cadfffffffff,69.0,2.0,0.0
838cb3fffffffff,1.0,0.0,0.0
838cd2fffffffff,3.0,0.0,0.0
838cd3fffffffff,2.0,0.0,0.0
838cd5fffffffff,6.0,0.0,0.0
838cd6fffffffff,2.0,1.0,0.0
838d88fffffffff,1.0,0.0,0.0
838d8dfffffffff,1.0,0.0,0.0
838da3fffffffff,7.0,0.0,0.0
838da6fffffffff,27.0,0.0,0.0
838db5fffffffff,1.0,0.0,0.0
