cell_id,Caprimulgus nubicus,Caprimulgus nubicus nubicus/tamaricis,Caprimulgus nubicus torridus,Caprimulgus nubicus jonesi
822db7fffffffff,10.0,3.0,0.0,0.0
82521ffffffffff,36.0,0.0,0.0,0.0
825237fffffffff,1.0,0.0,0.0,0.0
82528ffffffffff,1.0,0.0,0.0,0.0
8252affffffffff,1.0,0.0,0.0,0.0
8252d7fffffffff,8.0,0.0,0.0,0.0
8252f7fffffffff,3.0,0.0,0.0,0.0
825317fffffffff,1.0,0.0,0.0,0.0
8253affffffffff,10.0,0.0,0.0,0.0
8263affffffffff,2.0,0.0,0.0,0.0
826a5ffffffffff,4.0,0.0,0.0,0.0
826ac7fffffffff,4.0,0.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0,0.0
827a57fffffffff,2.0,0.0,0.0,0.0
827a5ffffffffff,1.0,0.0,0.0,0.0
827acffffffffff,1.0,0.0,0.0,0.0
827adffffffffff,3.0,0.0,0.0,0.0
827aeffffffffff,1.0,0.0,0.0,0.0
