cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
835f01fffffffff,1.0,0.0,1.0,0.0
836641fffffffff,29.0,0.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0,0.0
8366c5fffffffff,39.0,0.0,0.0,0.0
8366d1fffffffff,12.0,0.0,0.0,0.0
8366dafffffffff,4.0,0.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,20.0,0.0,0.0,0.0
838a1afffffffff,1.0,1.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0
838aa9fffffffff,2.0,2.0,0.0,0.0
838af6fffffffff,3.0,2.0,0.0,0.0
838b5cfffffffff,1.0,1.0,0.0,0.0
838b61fffffffff,2.0,2.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0,0.0
