cell_id,Serinus alario,Serinus alario alario,Serinus alario leucolaemus
84ad125ffffffff,3.0,0.0,0.0
84ad129ffffffff,1.0,0.0,0.0
84ad12dffffffff,4.0,0.0,0.0
84ad321ffffffff,4.0,2.0,0.0
84ad325ffffffff,2.0,2.0,0.0
84ad329ffffffff,35.0,19.0,10.0
84ad365ffffffff,3.0,3.0,0.0
84ad367ffffffff,1.0,1.0,0.0
84ad867ffffffff,1.0,0.0,0.0
84ad8b7ffffffff,1.0,0.0,0.0
84ada1bffffffff,6.0,0.0,0.0
84ada4bffffffff,1.0,0.0,0.0
84ada4dffffffff,1.0,0.0,0.0
84ada59ffffffff,2.0,1.0,0.0
84ada5bffffffff,1.0,0.0,0.0
84adab7ffffffff,3.0,0.0,2.0
84bc405ffffffff,1.0,0.0,0.0
84bc40dffffffff,32.0,32.0,0.0
84bc411ffffffff,10.0,6.0,0.0
84bc41bffffffff,1.0,0.0,0.0
84bc41dffffffff,1.0,0.0,0.0
84bc421ffffffff,1.0,0.0,0.0
84bc423ffffffff,1.0,0.0,0.0
84bc425ffffffff,1.0,0.0,0.0
84bc431ffffffff,82.0,56.0,0.0
84bc433ffffffff,3.0,2.0,0.0
84bc435ffffffff,6.0,6.0,0.0
84bc437ffffffff,3.0,0.0,0.0
84bc43dffffffff,2.0,0.0,0.0
84bc455ffffffff,1.0,0.0,0.0
84bc481ffffffff,6.0,0.0,0.0
84bc487ffffffff,1.0,0.0,0.0
84bc489ffffffff,8.0,1.0,0.0
84bc48bffffffff,5.0,5.0,0.0
84bc491ffffffff,2.0,2.0,0.0
84bc497ffffffff,5.0,0.0,0.0
84bc49bffffffff,2.0,2.0,0.0
84bc49dffffffff,2.0,1.0,0.0
84bc4b7ffffffff,1.0,0.0,0.0
84bc4bbffffffff,7.0,0.0,0.0
84bc4bdffffffff,11.0,0.0,0.0
84bc4c3ffffffff,6.0,0.0,0.0
84bc4cdffffffff,1.0,0.0,0.0
84bc4d5ffffffff,55.0,18.0,2.0
84bc4d7ffffffff,2.0,1.0,0.0
84bc4d9ffffffff,2.0,0.0,0.0
84bc4ddffffffff,51.0,20.0,0.0
84bc4e9ffffffff,4.0,4.0,0.0
84bc501ffffffff,7.0,1.0,0.0
84bc50bffffffff,2.0,0.0,0.0
84bc519ffffffff,1.0,1.0,0.0
84bc51bffffffff,3.0,0.0,0.0
84bc559ffffffff,1.0,0.0,0.0
84bc581ffffffff,2.0,0.0,0.0
84bc5c1ffffffff,3.0,3.0,0.0
84bc5c9ffffffff,4.0,4.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0
84bc5d9ffffffff,2.0,2.0,0.0
84bc5ddffffffff,1.0,1.0,0.0
84bc5edffffffff,2.0,0.0,0.0
84bc6a5ffffffff,4.0,4.0,0.0
84bc6a7ffffffff,3.0,1.0,0.0
84bc6b1ffffffff,2.0,0.0,0.0
84bc6b5ffffffff,1.0,0.0,0.0
84bc6b7ffffffff,2.0,1.0,0.0
84bc717ffffffff,1.0,1.0,0.0
84bce29ffffffff,6.0,4.0,0.0
84bce2bffffffff,6.0,2.0,0.0
