cell_id,Antrostomus rufus,Antrostomus rufus [rufus Group],Antrostomus rufus otiosus,Antrostomus rufus minimus
825e47fffffffff,2.0,0.0,2.0,0.0
825f17fffffffff,1.0,1.0,0.0,0.0
826607fffffffff,14.0,0.0,0.0,0.0
82660ffffffffff,1.0,0.0,0.0,0.0
826627fffffffff,4.0,0.0,0.0,0.0
82662ffffffffff,10.0,0.0,0.0,0.0
8266b7fffffffff,2.0,0.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0,0.0
8266effffffffff,4.0,0.0,0.0,0.0
826747fffffffff,2.0,2.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0,0.0
82675ffffffffff,11.0,4.0,0.0,0.0
828127fffffffff,1.0,0.0,0.0,0.0
828ad7fffffffff,2.0,2.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,1.0,1.0,0.0,0.0
828f47fffffffff,1.0,1.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
82a90ffffffffff,2.0,0.0,0.0,0.0
82a92ffffffffff,5.0,0.0,0.0,0.0
82a947fffffffff,16.0,0.0,0.0,0.0
82a94ffffffffff,9.0,0.0,0.0,0.0
82a957fffffffff,11.0,0.0,0.0,0.0
82a967fffffffff,1.0,0.0,0.0,0.0
82a96ffffffffff,38.0,0.0,0.0,0.0
82b25ffffffffff,1.0,0.0,0.0,0.0
82b267fffffffff,5.0,0.0,0.0,0.0
82b26ffffffffff,1.0,0.0,0.0,0.0
82b347fffffffff,8.0,0.0,0.0,0.0
82b34ffffffffff,4.0,0.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0,0.0
82b35ffffffffff,7.0,0.0,0.0,0.0
