cell_id,Tanysiptera galatea,Tanysiptera galatea [galatea Group],Tanysiptera galatea rosseliana
8472a2bffffffff,3.0,0.0,0.0
8472a6dffffffff,3.0,0.0,0.0
8472b37ffffffff,1.0,0.0,0.0
8472b51ffffffff,2.0,0.0,0.0
8472d49ffffffff,1.0,0.0,0.0
8472d91ffffffff,3.0,0.0,0.0
8472d93ffffffff,1.0,0.0,0.0
8472db3ffffffff,26.0,0.0,0.0
8472dbbffffffff,173.0,0.0,0.0
8472dcdffffffff,1.0,0.0,0.0
8472f23ffffffff,37.0,0.0,0.0
8472f35ffffffff,3.0,0.0,0.0
8473901ffffffff,22.0,1.0,0.0
8473905ffffffff,26.0,0.0,0.0
8473907ffffffff,25.0,0.0,0.0
847390bffffffff,29.0,0.0,0.0
847390dffffffff,32.0,0.0,0.0
8473951ffffffff,6.0,0.0,0.0
8473955ffffffff,1.0,0.0,0.0
8473959ffffffff,1.0,0.0,0.0
847395bffffffff,11.0,0.0,0.0
847395dffffffff,1.0,0.0,0.0
8473985ffffffff,1.0,0.0,0.0
8473987ffffffff,5.0,0.0,0.0
84739a1ffffffff,14.0,0.0,0.0
84739a9ffffffff,2.0,0.0,0.0
84739abffffffff,341.0,0.0,0.0
84739b1ffffffff,27.0,0.0,0.0
84739b5ffffffff,3.0,0.0,0.0
84739bbffffffff,3.0,0.0,0.0
8495419ffffffff,6.0,0.0,0.0
8495449ffffffff,3.0,0.0,0.0
849544bffffffff,1.0,0.0,0.0
849545bffffffff,26.0,1.0,0.0
8495613ffffffff,41.0,0.0,0.0
8495617ffffffff,2.0,0.0,0.0
84956a5ffffffff,19.0,0.0,0.0
84956abffffffff,2.0,0.0,0.0
84956bdffffffff,36.0,1.0,0.0
84956c5ffffffff,2.0,0.0,0.0
849c85bffffffff,1.0,0.0,0.0
849c993ffffffff,154.0,0.0,0.0
849c997ffffffff,99.0,0.0,0.0
849c9d5ffffffff,6.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849ca61ffffffff,1.0,0.0,0.0
849ca63ffffffff,1.0,0.0,0.0
849ca65ffffffff,1.0,0.0,0.0
849caa5ffffffff,4.0,0.0,0.0
849caadffffffff,19.0,0.0,0.0
849cae7ffffffff,20.0,0.0,0.0
849cc29ffffffff,1.0,0.0,0.0
849cd15ffffffff,1.0,0.0,0.0
849cd31ffffffff,93.0,0.0,0.0
849cd33ffffffff,4.0,0.0,0.0
