cell_id,Pardalotus punctatus,Pardalotus punctatus millitaris,Pardalotus punctatus punctatus,Pardalotus punctatus xanthopyge
829c07fffffffff,1.0,1.0,0.0,0.0
829c27fffffffff,233.0,31.0,0.0,0.0
829d07fffffffff,2.0,0.0,0.0,0.0
829d0ffffffffff,15.0,0.0,0.0,0.0
829d27fffffffff,53.0,0.0,2.0,0.0
829d2ffffffffff,20.0,0.0,0.0,0.0
82a707fffffffff,1.0,0.0,0.0,0.0
82a727fffffffff,219.0,0.0,0.0,0.0
82a737fffffffff,14.0,0.0,0.0,0.0
82b82ffffffffff,17.0,0.0,0.0,3.0
82b837fffffffff,15.0,0.0,0.0,5.0
82b847fffffffff,2.0,0.0,0.0,0.0
82b867fffffffff,15.0,0.0,0.0,1.0
82b86ffffffffff,8.0,0.0,0.0,0.0
82b917fffffffff,314.0,0.0,0.0,28.0
82b9a7fffffffff,206.0,0.0,0.0,66.0
82b9affffffffff,42.0,0.0,0.0,22.0
82be0ffffffffff,11322.0,0.0,868.0,0.0
82be1ffffffffff,981.0,0.0,104.0,0.0
82be2ffffffffff,167.0,0.0,14.0,0.0
82be47fffffffff,3240.0,0.0,522.0,146.0
82be4ffffffffff,1793.0,0.0,11.0,521.0
82be57fffffffff,525.0,0.0,24.0,7.0
82be5ffffffffff,28.0,0.0,0.0,14.0
82be67fffffffff,9716.0,0.0,2553.0,0.0
82be6ffffffffff,1011.0,0.0,184.0,14.0
82be77fffffffff,8882.0,0.0,657.0,0.0
82be8ffffffffff,3806.0,0.0,186.0,0.0
82beaffffffffff,745.0,0.0,73.0,0.0
82bec7fffffffff,5.0,0.0,0.0,0.0
82bed7fffffffff,57.0,0.0,2.0,0.0
82bedffffffffff,33.0,0.0,0.0,0.0
82bee7fffffffff,565.0,0.0,17.0,0.0
82beeffffffffff,9.0,0.0,0.0,4.0
82bef7fffffffff,2497.0,0.0,67.0,0.0
82bf4ffffffffff,2438.0,0.0,534.0,0.0
82bf5ffffffffff,18.0,0.0,3.0,0.0
82bf6ffffffffff,139.0,0.0,39.0,0.0
82c987fffffffff,423.0,0.0,94.0,4.0
82c997fffffffff,478.0,0.0,7.0,0.0
82c99ffffffffff,60.0,0.0,4.0,0.0
82c9b7fffffffff,222.0,0.0,0.0,37.0
82d897fffffffff,77.0,0.0,34.0,0.0
