cell_id,Anser albifrons,Anser albifrons flavirostris,Anser albifrons albifrons,Anser albifrons gambelli/sponsa,Anser albifrons elgasi
820127fffffffff,5.0,0.0,0.0,0.0,0.0
820137fffffffff,4.0,0.0,0.0,0.0,0.0
8201b7fffffffff,2.0,0.0,0.0,0.0,0.0
82025ffffffffff,2.0,0.0,0.0,0.0,0.0
8202c7fffffffff,4.0,0.0,0.0,0.0,0.0
8202cffffffffff,325.0,0.0,0.0,0.0,0.0
8202dffffffffff,17.0,0.0,0.0,0.0,0.0
8202effffffffff,4.0,0.0,0.0,0.0,0.0
82041ffffffffff,49.0,0.0,0.0,0.0,0.0
8204cffffffffff,19.0,0.0,0.0,0.0,0.0
8204effffffffff,8.0,0.0,0.0,0.0,0.0
82058ffffffffff,43.0,0.0,3.0,0.0,0.0
820747fffffffff,113.0,6.0,0.0,0.0,0.0
82075ffffffffff,42.0,16.0,0.0,0.0,0.0
820767fffffffff,9.0,6.0,0.0,0.0,0.0
820777fffffffff,7.0,7.0,0.0,0.0,0.0
820807fffffffff,3.0,0.0,0.0,0.0,0.0
820817fffffffff,2.0,0.0,2.0,0.0,0.0
820887fffffffff,146.0,0.0,0.0,0.0,0.0
82088ffffffffff,46.0,0.0,2.0,0.0,0.0
820897fffffffff,16.0,0.0,0.0,0.0,0.0
82089ffffffffff,466.0,0.0,26.0,0.0,0.0
8208a7fffffffff,2.0,0.0,0.0,0.0,0.0
8208affffffffff,4.0,0.0,0.0,0.0,0.0
8208b7fffffffff,35.0,0.0,0.0,0.0,0.0
8208d7fffffffff,16.0,0.0,0.0,0.0,0.0
8208dffffffffff,1.0,0.0,0.0,0.0,0.0
820987fffffffff,10.0,0.0,2.0,0.0,0.0
820997fffffffff,19.0,0.0,2.0,0.0,0.0
82099ffffffffff,6.0,0.0,4.0,0.0,0.0
820c07fffffffff,116.0,0.0,0.0,2.0,0.0
820c17fffffffff,731.0,0.0,0.0,0.0,0.0
820c1ffffffffff,59.0,0.0,0.0,2.0,0.0
820c27fffffffff,3.0,0.0,0.0,0.0,0.0
820c2ffffffffff,44.0,0.0,0.0,0.0,0.0
820c37fffffffff,161.0,0.0,0.0,0.0,0.0
820c47fffffffff,319.0,0.0,0.0,0.0,0.0
820c57fffffffff,1052.0,0.0,0.0,50.0,0.0
820c5ffffffffff,190.0,0.0,0.0,0.0,0.0
820c67fffffffff,24.0,0.0,0.0,0.0,0.0
820c6ffffffffff,15.0,0.0,0.0,0.0,0.0
820c77fffffffff,306.0,0.0,0.0,9.0,2.0
820c8ffffffffff,13.0,0.0,0.0,8.0,0.0
820ca7fffffffff,402.0,0.0,0.0,0.0,0.0
820caffffffffff,25.0,0.0,0.0,0.0,0.0
820cdffffffffff,38.0,0.0,0.0,0.0,0.0
820ce7fffffffff,12.0,0.0,0.0,0.0,0.0
820ceffffffffff,21.0,0.0,0.0,0.0,0.0
820cf7fffffffff,6.0,0.0,0.0,0.0,0.0
820d07fffffffff,4111.0,0.0,0.0,508.0,0.0
820d0ffffffffff,730.0,0.0,0.0,13.0,0.0
820d1ffffffffff,16.0,0.0,0.0,0.0,0.0
820d47fffffffff,18.0,0.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0,0.0
820d57fffffffff,23.0,0.0,0.0,0.0,0.0
820d5ffffffffff,320.0,0.0,0.0,2.0,0.0
820d67fffffffff,329.0,0.0,0.0,0.0,0.0
820d77fffffffff,393.0,0.0,0.0,66.0,0.0
820d9ffffffffff,2.0,0.0,0.0,0.0,0.0
820e87fffffffff,86.0,0.0,0.0,0.0,0.0
820f97fffffffff,3.0,0.0,0.0,0.0,0.0
820f9ffffffffff,134.0,0.0,0.0,0.0,0.0
820fb7fffffffff,10.0,0.0,0.0,0.0,0.0
8210dffffffffff,2.0,0.0,0.0,0.0,0.0
821107fffffffff,139.0,0.0,2.0,0.0,0.0
82110ffffffffff,5.0,0.0,0.0,0.0,0.0
821117fffffffff,15.0,0.0,0.0,0.0,0.0
821127fffffffff,46.0,0.0,0.0,0.0,0.0
82112ffffffffff,11.0,0.0,8.0,0.0,0.0
821137fffffffff,49.0,0.0,0.0,0.0,0.0
821157fffffffff,3.0,0.0,0.0,0.0,0.0
821187fffffffff,23.0,0.0,2.0,0.0,0.0
