cell_id,Chroicocephalus maculipennis,Chroicocephalus maculipennis (White-winged),Chroicocephalus maculipennis (Dark-winged)
84a8315ffffffff,2.0,0.0,0.0
84a9003ffffffff,3.0,0.0,0.0
84a9011ffffffff,3.0,0.0,0.0
84a9013ffffffff,1.0,0.0,0.0
84a9015ffffffff,1.0,0.0,0.0
84a901dffffffff,6.0,0.0,0.0
84a9031ffffffff,21.0,0.0,0.0
84a9033ffffffff,4.0,0.0,0.0
84a9039ffffffff,7.0,0.0,0.0
84a903bffffffff,6.0,0.0,0.0
84a9051ffffffff,385.0,0.0,0.0
84a9053ffffffff,2.0,0.0,0.0
84a9057ffffffff,134.0,0.0,0.0
84a9059ffffffff,2.0,0.0,0.0
84a9181ffffffff,13.0,0.0,0.0
84a9187ffffffff,1.0,0.0,0.0
84a918bffffffff,3.0,0.0,0.0
84a91b7ffffffff,40.0,0.0,0.0
84a91ddffffffff,2.0,0.0,0.0
84a9213ffffffff,71.0,0.0,0.0
84a9217ffffffff,122.0,0.0,0.0
84a921bffffffff,29.0,0.0,0.0
84a92c5ffffffff,12.0,0.0,0.0
84a92c9ffffffff,2.0,0.0,0.0
84a92cbffffffff,25.0,0.0,0.0
84a92cdffffffff,22.0,0.0,0.0
84a92d7ffffffff,1.0,0.0,0.0
84a92d9ffffffff,7.0,0.0,0.0
84a92e1ffffffff,121.0,0.0,0.0
84a92e5ffffffff,2.0,0.0,0.0
84a92e7ffffffff,2.0,0.0,0.0
84a92e9ffffffff,107.0,0.0,0.0
84a92ebffffffff,24.0,0.0,0.0
84a92edffffffff,22.0,0.0,0.0
84a9645ffffffff,6.0,0.0,0.0
84a9669ffffffff,4.0,0.0,0.0
84b2007ffffffff,2.0,0.0,0.0
84b2031ffffffff,3.0,0.0,0.0
84b2039ffffffff,2.0,0.0,0.0
84b2191ffffffff,165.0,0.0,0.0
84b2195ffffffff,2.0,0.0,0.0
84b2197ffffffff,15.0,0.0,0.0
84b21bbffffffff,18.0,0.0,0.0
84b21d7ffffffff,4.0,0.0,0.0
84b2413ffffffff,537.0,0.0,0.0
84b241bffffffff,2.0,0.0,0.0
84b242bffffffff,10.0,0.0,0.0
84b2435ffffffff,11.0,0.0,0.0
84b2453ffffffff,10.0,0.0,0.0
84b245dffffffff,8.0,0.0,0.0
84b2499ffffffff,1.0,0.0,0.0
84b24a1ffffffff,13.0,0.0,0.0
84b24a3ffffffff,25.0,0.0,0.0
