cell_id,Anthreptes longuemarei,Anthreptes longuemarei longuemarei/haussarum,Anthreptes longuemarei angolensis/nyassae
83541afffffffff,6.0,0.0,0.0
83541bfffffffff,1.0,0.0,0.0
8354a9fffffffff,41.0,1.0,0.0
8354e4fffffffff,16.0,2.0,0.0
8354e5fffffffff,16.0,4.0,0.0
8354e9fffffffff,1.0,0.0,0.0
8354f4fffffffff,8.0,1.0,0.0
83581bfffffffff,1.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
835896fffffffff,3.0,0.0,0.0
8358c8fffffffff,5.0,2.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0
8358dcfffffffff,1.0,0.0,0.0
8358defffffffff,4.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0
836a10fffffffff,2.0,0.0,0.0
836a12fffffffff,1.0,0.0,0.0
836a52fffffffff,1.0,0.0,0.0
836ac0fffffffff,2.0,1.0,0.0
836ac1fffffffff,4.0,0.0,0.0
836ac3fffffffff,3.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,1.0,0.0,0.0
836ad9fffffffff,3.0,0.0,0.0
836adcfffffffff,4.0,0.0,0.0
836ae0fffffffff,6.0,6.0,0.0
836ae8fffffffff,19.0,0.0,0.0
836aeafffffffff,35.0,8.0,0.0
836aecfffffffff,1.0,0.0,0.0
836aedfffffffff,1.0,0.0,0.0
836aeefffffffff,2.0,0.0,0.0
836b8afffffffff,1.0,0.0,0.0
837520fffffffff,94.0,7.0,0.0
837529fffffffff,1.0,0.0,0.0
837a6dfffffffff,2.0,0.0,2.0
837b4dfffffffff,3.0,0.0,0.0
837b6bfffffffff,2.0,0.0,0.0
83828bfffffffff,1.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
838312fffffffff,12.0,0.0,5.0
838314fffffffff,1.0,0.0,0.0
838326fffffffff,1.0,0.0,0.0
838333fffffffff,17.0,0.0,3.0
8383a8fffffffff,3.0,0.0,3.0
8383acfffffffff,3.0,0.0,0.0
839600fffffffff,8.0,0.0,1.0
839601fffffffff,6.0,0.0,0.0
839602fffffffff,16.0,0.0,5.0
839603fffffffff,1.0,0.0,1.0
839604fffffffff,5.0,0.0,1.0
839605fffffffff,3.0,0.0,0.0
839609fffffffff,11.0,0.0,0.0
83960bfffffffff,2.0,0.0,0.0
83960dfffffffff,1.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0
839613fffffffff,3.0,0.0,0.0
839615fffffffff,30.0,0.0,13.0
83961cfffffffff,1.0,0.0,0.0
839620fffffffff,1.0,0.0,0.0
839623fffffffff,2.0,0.0,0.0
839624fffffffff,3.0,0.0,3.0
83962afffffffff,3.0,0.0,0.0
83962bfffffffff,1.0,0.0,0.0
83962cfffffffff,2.0,0.0,0.0
83962dfffffffff,3.0,0.0,0.0
83962efffffffff,2.0,0.0,0.0
839633fffffffff,2.0,0.0,2.0
839636fffffffff,32.0,0.0,11.0
839656fffffffff,1.0,0.0,0.0
839670fffffffff,3.0,0.0,0.0
839672fffffffff,1.0,0.0,0.0
8396a5fffffffff,3.0,0.0,1.0
8396a8fffffffff,2.0,0.0,2.0
8396b0fffffffff,14.0,0.0,3.0
8396b1fffffffff,53.0,0.0,23.0
8396b5fffffffff,1.0,0.0,0.0
8396b6fffffffff,5.0,0.0,0.0
839702fffffffff,20.0,0.0,2.0
839703fffffffff,12.0,0.0,0.0
839710fffffffff,17.0,0.0,3.0
839711fffffffff,18.0,0.0,6.0
839719fffffffff,14.0,0.0,6.0
83971bfffffffff,1.0,0.0,0.0
83971dfffffffff,3.0,0.0,0.0
83975efffffffff,1.0,0.0,0.0
839789fffffffff,1.0,0.0,1.0
83978efffffffff,2.0,0.0,2.0
839791fffffffff,1.0,0.0,1.0
839798fffffffff,1.0,0.0,0.0
8397a3fffffffff,2.0,0.0,2.0
8397a8fffffffff,1.0,0.0,1.0
8397abfffffffff,1.0,0.0,0.0
