cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
84450ebffffffff,2.0,0.0,2.0,0.0
8445215ffffffff,5.0,0.0,0.0,0.0
8445217ffffffff,5.0,0.0,0.0,0.0
84452a1ffffffff,5.0,0.0,0.0,0.0
84452a9ffffffff,6.0,0.0,2.0,0.0
84452adffffffff,3.0,0.0,0.0,0.0
84452c3ffffffff,5.0,0.0,1.0,0.0
84452e1ffffffff,14.0,0.0,0.0,0.0
84452e9ffffffff,2.0,0.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0,0.0
8445343ffffffff,10.0,0.0,0.0,0.0
8449901ffffffff,2.0,2.0,0.0,0.0
8449961ffffffff,4.0,0.0,0.0,0.0
8449963ffffffff,11.0,9.0,0.0,0.0
8449969ffffffff,4.0,0.0,0.0,0.0
8449987ffffffff,1.0,1.0,0.0,0.0
846d21dffffffff,5.0,0.0,0.0,0.0
846d23dffffffff,6.0,0.0,0.0,6.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d305ffffffff,2.0,1.0,0.0,0.0
846d319ffffffff,2.0,0.0,0.0,2.0
