cell_id,Myiobius atricaudus,Myiobius atricaudus [atricaudus Group],Myiobius atricaudus ridgwayi
825f47fffffffff,2.0,0.0,0.0
825f6ffffffffff,4.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0
826607fffffffff,35.0,0.0,0.0
82660ffffffffff,24.0,0.0,0.0
826617fffffffff,356.0,17.0,0.0
82661ffffffffff,593.0,0.0,0.0
826637fffffffff,2.0,0.0,0.0
8266a7fffffffff,575.0,32.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,383.0,0.0,0.0
8266d7fffffffff,40.0,3.0,0.0
8266dffffffffff,54.0,5.0,0.0
8266e7fffffffff,20.0,0.0,0.0
8266f7fffffffff,31.0,0.0,0.0
828007fffffffff,16.0,0.0,0.0
82800ffffffffff,1.0,0.0,0.0
828017fffffffff,62.0,0.0,0.0
828037fffffffff,100.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0
828107fffffffff,2.0,0.0,0.0
828127fffffffff,15.0,0.0,0.0
82812ffffffffff,3.0,0.0,0.0
828137fffffffff,4.0,0.0,0.0
828147fffffffff,9.0,0.0,0.0
82815ffffffffff,1.0,0.0,0.0
828177fffffffff,16.0,5.0,0.0
828a1ffffffffff,8.0,0.0,0.0
828a47fffffffff,10.0,0.0,0.0
828a6ffffffffff,13.0,0.0,0.0
828a77fffffffff,3.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828aaffffffffff,1.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828f0ffffffffff,86.0,14.0,0.0
828f27fffffffff,2.0,0.0,0.0
828f2ffffffffff,225.0,24.0,0.0
828f47fffffffff,87.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0
828f77fffffffff,17.0,0.0,0.0
82a807fffffffff,30.0,0.0,2.0
82a817fffffffff,195.0,0.0,5.0
82a837fffffffff,60.0,0.0,0.0
82a887fffffffff,57.0,0.0,5.0
82a88ffffffffff,10.0,0.0,0.0
82a897fffffffff,6.0,0.0,1.0
82a8a7fffffffff,218.0,0.0,12.0
82a8affffffffff,12.0,0.0,0.0
82a8d7fffffffff,26.0,0.0,0.0
82a8dffffffffff,32.0,0.0,0.0
