cell_id,Cisticola eximius,Cisticola eximius winneba,Cisticola eximius eximius/occidens
84599a5ffffffff,2.0,0.0,2.0
84599e5ffffffff,2.0,0.0,2.0
846a5a9ffffffff,3.0,0.0,0.0
846ac93ffffffff,3.0,0.0,0.0
846accbffffffff,1.0,0.0,0.0
846aee3ffffffff,2.0,0.0,0.0
847a681ffffffff,2.0,0.0,0.0
847a683ffffffff,31.0,0.0,1.0
847a68bffffffff,3.0,0.0,0.0
