cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
8426001ffffffff,5.0,0.0,0.0
8426003ffffffff,12.0,0.0,0.0
8426005ffffffff,2.0,0.0,0.0
8426007ffffffff,9.0,0.0,0.0
8426009ffffffff,19.0,0.0,0.0
842600bffffffff,43.0,0.0,0.0
842600dffffffff,20.0,0.0,0.0
8426011ffffffff,1.0,1.0,0.0
8426013ffffffff,23.0,6.0,0.0
8426015ffffffff,158.0,29.0,0.0
8426017ffffffff,99.0,29.0,0.0
8426019ffffffff,3.0,0.0,0.0
842601bffffffff,2.0,0.0,0.0
842601dffffffff,37.0,0.0,0.0
8426021ffffffff,20.0,0.0,0.0
8426023ffffffff,8.0,0.0,0.0
8426027ffffffff,2.0,0.0,0.0
8426029ffffffff,4.0,0.0,0.0
842602bffffffff,22.0,0.0,0.0
842602dffffffff,3.0,0.0,0.0
8426031ffffffff,16.0,5.0,0.0
8426033ffffffff,20.0,3.0,0.0
8426035ffffffff,34.0,16.0,0.0
8426037ffffffff,4.0,0.0,0.0
8426039ffffffff,81.0,10.0,0.0
842603bffffffff,14.0,0.0,0.0
842603dffffffff,57.0,15.0,0.0
8426041ffffffff,22.0,0.0,0.0
8426043ffffffff,21.0,0.0,0.0
8426047ffffffff,10.0,0.0,0.0
8426049ffffffff,12.0,0.0,0.0
842604bffffffff,4.0,0.0,0.0
842604dffffffff,2.0,0.0,0.0
8426051ffffffff,84.0,0.0,0.0
8426053ffffffff,22.0,0.0,0.0
8426055ffffffff,27.0,0.0,0.0
8426057ffffffff,6.0,0.0,0.0
8426059ffffffff,14.0,0.0,0.0
842605bffffffff,36.0,0.0,0.0
842605dffffffff,55.0,0.0,0.0
8426063ffffffff,7.0,0.0,0.0
8426065ffffffff,3.0,0.0,0.0
8426067ffffffff,21.0,0.0,0.0
842606bffffffff,2.0,0.0,0.0
842606dffffffff,6.0,0.0,0.0
8426081ffffffff,4.0,2.0,0.0
8426083ffffffff,3.0,0.0,0.0
8426085ffffffff,189.0,7.0,0.0
8426087ffffffff,55.0,0.0,0.0
842608bffffffff,4.0,0.0,0.0
842608dffffffff,22.0,2.0,0.0
8426091ffffffff,5.0,0.0,0.0
8426093ffffffff,19.0,0.0,0.0
8426095ffffffff,1.0,0.0,0.0
8426097ffffffff,7.0,0.0,0.0
8426099ffffffff,91.0,0.0,0.0
842609bffffffff,9.0,0.0,0.0
842609dffffffff,4.0,0.0,0.0
84260a1ffffffff,319.0,0.0,0.0
84260a3ffffffff,13.0,0.0,0.0
84260a5ffffffff,2.0,0.0,0.0
84260a7ffffffff,17.0,0.0,0.0
84260a9ffffffff,192.0,2.0,0.0
84260abffffffff,9.0,0.0,0.0
84260adffffffff,100.0,0.0,0.0
84260b1ffffffff,31.0,2.0,0.0
84260b3ffffffff,158.0,0.0,0.0
84260b5ffffffff,15.0,0.0,0.0
84260b7ffffffff,17.0,0.0,0.0
84260b9ffffffff,380.0,10.0,0.0
84260bbffffffff,133.0,0.0,0.0
84260bdffffffff,34.0,0.0,0.0
84260c1ffffffff,2.0,0.0,0.0
84260c3ffffffff,6.0,0.0,0.0
84260c7ffffffff,3.0,0.0,0.0
84260c9ffffffff,2.0,0.0,0.0
84260cbffffffff,8.0,0.0,0.0
84260d1ffffffff,10.0,0.0,0.0
84260d5ffffffff,6.0,0.0,0.0
84260d7ffffffff,7.0,2.0,0.0
84260d9ffffffff,188.0,0.0,0.0
84260ddffffffff,12.0,0.0,0.0
84260e1ffffffff,16.0,0.0,0.0
84260e3ffffffff,207.0,8.0,0.0
