cell_id,Pyrrhura frontalis,Pyrrhura frontalis frontalis,Pyrrhura frontalis chiripepe
838102fffffffff,42.0,1.0,0.0
838106fffffffff,6.0,1.0,0.0
838111fffffffff,3.0,0.0,0.0
83811efffffffff,5.0,0.0,0.0
838124fffffffff,55.0,0.0,0.0
838130fffffffff,101.0,5.0,0.0
838132fffffffff,4.0,2.0,0.0
838133fffffffff,91.0,2.0,0.0
838134fffffffff,18.0,0.0,0.0
838136fffffffff,315.0,6.0,0.0
83a800fffffffff,37.0,0.0,0.0
83a801fffffffff,52.0,0.0,0.0
83a804fffffffff,105.0,0.0,5.0
83a805fffffffff,70.0,0.0,1.0
83a806fffffffff,819.0,117.0,0.0
83a80cfffffffff,29.0,0.0,0.0
83a80dfffffffff,3.0,0.0,0.0
83a810fffffffff,2747.0,38.0,0.0
83a812fffffffff,1890.0,174.0,0.0
83a813fffffffff,19.0,0.0,0.0
83a814fffffffff,560.0,16.0,0.0
83a815fffffffff,1130.0,69.0,0.0
83a816fffffffff,137.0,19.0,0.0
83a818fffffffff,4.0,0.0,0.0
83a81efffffffff,1.0,0.0,0.0
83a820fffffffff,24.0,0.0,2.0
83a821fffffffff,37.0,0.0,0.0
83a822fffffffff,64.0,0.0,1.0
83a823fffffffff,44.0,0.0,3.0
83a824fffffffff,113.0,0.0,60.0
83a825fffffffff,46.0,0.0,0.0
83a826fffffffff,51.0,0.0,0.0
83a828fffffffff,18.0,0.0,0.0
83a829fffffffff,5.0,0.0,0.0
83a82afffffffff,18.0,0.0,0.0
83a82bfffffffff,21.0,0.0,0.0
83a82cfffffffff,4.0,0.0,0.0
83a82dfffffffff,28.0,0.0,0.0
83a82efffffffff,23.0,0.0,0.0
83a831fffffffff,386.0,0.0,21.0
83a833fffffffff,68.0,1.0,0.0
83a835fffffffff,365.0,0.0,24.0
83a860fffffffff,70.0,0.0,0.0
83a862fffffffff,25.0,0.0,0.0
83a863fffffffff,4.0,0.0,0.0
83a864fffffffff,1.0,0.0,0.0
83a866fffffffff,33.0,0.0,0.0
83a875fffffffff,2.0,0.0,0.0
83a880fffffffff,157.0,3.0,0.0
83a881fffffffff,6.0,0.0,0.0
83a882fffffffff,309.0,69.0,0.0
83a884fffffffff,44.0,0.0,0.0
83a886fffffffff,5.0,1.0,0.0
83a88afffffffff,6.0,0.0,0.0
83a891fffffffff,133.0,21.0,0.0
83a895fffffffff,28.0,6.0,0.0
83a8a0fffffffff,474.0,3.0,0.0
83a8a1fffffffff,1845.0,76.0,0.0
83a8a2fffffffff,1081.0,59.0,0.0
83a8a3fffffffff,314.0,3.0,0.0
83a8a5fffffffff,128.0,24.0,0.0
83a8a9fffffffff,114.0,0.0,0.0
83a8aafffffffff,5.0,0.0,0.0
83a8abfffffffff,2.0,0.0,0.0
83a8acfffffffff,247.0,32.0,0.0
83a8adfffffffff,16.0,0.0,0.0
83a8aefffffffff,217.0,0.0,0.0
83a8b1fffffffff,6.0,0.0,0.0
83a8f4fffffffff,5.0,0.0,0.0
83a8f6fffffffff,2.0,0.0,0.0
83a901fffffffff,11.0,0.0,0.0
83a903fffffffff,3.0,0.0,0.0
83a908fffffffff,6.0,0.0,0.0
83a909fffffffff,66.0,0.0,0.0
83a90afffffffff,33.0,0.0,1.0
83a90bfffffffff,9.0,0.0,0.0
83a90cfffffffff,25.0,0.0,0.0
83a90dfffffffff,31.0,0.0,0.0
83a90efffffffff,230.0,0.0,23.0
83a918fffffffff,5.0,0.0,0.0
83a919fffffffff,341.0,0.0,11.0
83a91bfffffffff,227.0,0.0,42.0
83a91dfffffffff,292.0,0.0,7.0
83a928fffffffff,4.0,0.0,0.0
83a929fffffffff,15.0,0.0,0.0
83a92afffffffff,8.0,0.0,0.0
83a92bfffffffff,12.0,0.0,0.0
83a92cfffffffff,1076.0,0.0,3.0
83a92dfffffffff,23.0,0.0,0.0
83a92efffffffff,79.0,0.0,0.0
83a940fffffffff,2.0,0.0,0.0
83a941fffffffff,186.0,0.0,0.0
83a942fffffffff,145.0,0.0,0.0
83a943fffffffff,456.0,0.0,0.0
83a945fffffffff,14.0,0.0,0.0
83a946fffffffff,25.0,0.0,0.0
83a948fffffffff,6.0,0.0,0.0
83a94afffffffff,1.0,0.0,0.0
83a94cfffffffff,92.0,0.0,0.0
83a94efffffffff,81.0,0.0,0.0
83a950fffffffff,661.0,0.0,0.0
83a951fffffffff,14.0,0.0,0.0
83a952fffffffff,66.0,0.0,6.0
83a953fffffffff,868.0,0.0,0.0
83a954fffffffff,9.0,0.0,0.0
83a955fffffffff,134.0,0.0,0.0
83a956fffffffff,3.0,0.0,0.0
83a95afffffffff,197.0,0.0,0.0
83a95bfffffffff,9.0,0.0,0.0
83a95cfffffffff,190.0,0.0,0.0
83a95dfffffffff,44.0,0.0,0.0
83a95efffffffff,35.0,0.0,0.0
83a962fffffffff,5.0,0.0,0.0
83a968fffffffff,78.0,0.0,0.0
83a96afffffffff,237.0,0.0,0.0
83a96bfffffffff,50.0,0.0,0.0
83a96efffffffff,53.0,0.0,0.0
83a972fffffffff,5.0,0.0,0.0
83a976fffffffff,58.0,0.0,0.0
83b369fffffffff,2.0,0.0,0.0
83c2d0fffffffff,2.0,0.0,0.0
83c2d3fffffffff,16.0,0.0,0.0
83c2e3fffffffff,589.0,0.0,0.0
