cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
8326cbfffffffff,2.0,0.0,0.0
832a8bfffffffff,59.0,0.0,2.0
832af6fffffffff,11.0,0.0,0.0
834440fffffffff,199.0,0.0,0.0
834444fffffffff,9.0,0.0,0.0
834445fffffffff,18.0,0.0,0.0
834446fffffffff,31.0,0.0,0.0
834450fffffffff,23.0,0.0,0.0
834452fffffffff,4.0,0.0,2.0
834455fffffffff,13.0,0.0,0.0
834456fffffffff,21.0,0.0,0.0
83446cfffffffff,13.0,0.0,1.0
83446dfffffffff,2.0,0.0,0.0
83446efffffffff,5.0,0.0,0.0
834473fffffffff,8.0,0.0,0.0
8344a1fffffffff,225.0,0.0,3.0
8344aefffffffff,6.0,0.0,0.0
8344d2fffffffff,32.0,0.0,0.0
8344e0fffffffff,2.0,0.0,0.0
8344e2fffffffff,42.0,0.0,0.0
8344e4fffffffff,13.0,0.0,0.0
8344e6fffffffff,1.0,0.0,0.0
8344f3fffffffff,45.0,0.0,2.0
8344f6fffffffff,5.0,0.0,0.0
834501fffffffff,17.0,6.0,0.0
834523fffffffff,2.0,0.0,0.0
834528fffffffff,4.0,2.0,0.0
83452efffffffff,45.0,0.0,0.0
834882fffffffff,2.0,0.0,0.0
834886fffffffff,3.0,0.0,0.0
83488efffffffff,4.0,0.0,0.0
834892fffffffff,16.0,0.0,0.0
83489cfffffffff,8.0,0.0,0.0
83489efffffffff,20.0,0.0,0.0
8348b1fffffffff,1.0,0.0,0.0
8348b2fffffffff,3.0,0.0,3.0
8348b3fffffffff,14.0,0.0,0.0
834990fffffffff,4.0,0.0,2.0
834996fffffffff,17.0,0.0,2.0
83499cfffffffff,2.0,0.0,2.0
836d23fffffffff,7.0,0.0,4.0
836d31fffffffff,3.0,0.0,2.0
836d34fffffffff,6.0,0.0,0.0
836d35fffffffff,2.0,0.0,0.0
