cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
828307fffffffff,15.0,0.0,0.0
82831ffffffffff,2.0,0.0,0.0
828327fffffffff,13.0,0.0,0.0
829707fffffffff,3.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
829727fffffffff,11.0,0.0,0.0
82972ffffffffff,409.0,0.0,135.0
829747fffffffff,79.0,0.0,0.0
82974ffffffffff,41.0,0.0,0.0
82975ffffffffff,8.0,0.0,0.0
829767fffffffff,4.0,0.0,0.0
82976ffffffffff,3.0,0.0,0.0
829777fffffffff,13.0,0.0,0.0
82ac87fffffffff,756.0,7.0,0.0
82ac8ffffffffff,5.0,0.0,0.0
82aca7fffffffff,537.0,108.0,0.0
82acaffffffffff,38.0,6.0,0.0
82acb7fffffffff,3.0,0.0,0.0
82ad87fffffffff,24.0,1.0,0.0
82ad8ffffffffff,69.0,0.0,0.0
82ad97fffffffff,5.0,0.0,0.0
82ada7fffffffff,61.0,1.0,0.0
82adaffffffffff,4.0,0.0,0.0
82adb7fffffffff,5.0,0.0,0.0
82bc0ffffffffff,4.0,0.0,0.0
82bc1ffffffffff,1.0,0.0,0.0
82bc47fffffffff,63.0,0.0,0.0
82bc57fffffffff,4.0,0.0,0.0
82bc5ffffffffff,9.0,0.0,0.0
82bc8ffffffffff,6.0,0.0,0.0
82bcc7fffffffff,22.0,0.0,6.0
82bccffffffffff,18.0,0.0,1.0
82bcd7fffffffff,1237.0,0.0,298.0
82bcdffffffffff,441.0,0.0,85.0
82bce7fffffffff,7.0,0.0,0.0
82bceffffffffff,56.0,0.0,0.0
82bcf7fffffffff,402.0,0.0,76.0
