cell_id,Leistes loyca,Leistes loyca obscurus,Leistes loyca [loyca Group]
84b2191ffffffff,2.0,0.0,0.0
84b2261ffffffff,14.0,0.0,0.0
84b243dffffffff,3.0,0.0,0.0
84b25cbffffffff,2.0,0.0,0.0
84b2c0dffffffff,4.0,0.0,0.0
84b2c41ffffffff,10.0,0.0,0.0
84b2c43ffffffff,1.0,0.0,0.0
84b2c47ffffffff,2.0,0.0,0.0
84b2c4bffffffff,1.0,0.0,0.0
84b2c51ffffffff,6.0,0.0,0.0
84b2c55ffffffff,99.0,0.0,0.0
84b2c5dffffffff,4.0,0.0,0.0
84b2e37ffffffff,1.0,0.0,0.0
84b2e3dffffffff,4.0,0.0,0.0
84b35e9ffffffff,3.0,0.0,0.0
84c218bffffffff,9.0,0.0,0.0
84c36c7ffffffff,1.0,0.0,0.0
84cf913ffffffff,4.0,0.0,0.0
84cf943ffffffff,2.0,0.0,0.0
84cfa2bffffffff,2.0,0.0,0.0
84de719ffffffff,1.0,0.0,0.0
84df683ffffffff,1.0,0.0,0.0
84df68bffffffff,2.0,0.0,0.0
84df699ffffffff,3.0,0.0,0.0
84df6d7ffffffff,4.0,0.0,0.0
