cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
8308a5fffffffff,3.0,3.0,0.0
8308c2fffffffff,2.0,0.0,0.0
83112dfffffffff,2.0,0.0,0.0
831134fffffffff,5.0,0.0,0.0
8311abfffffffff,1.0,1.0,0.0
8311aefffffffff,5.0,5.0,0.0
831598fffffffff,3.0,3.0,0.0
831e00fffffffff,1.0,0.0,0.0
831e04fffffffff,3.0,0.0,0.0
831e05fffffffff,12.0,0.0,0.0
831e2afffffffff,1.0,0.0,0.0
831e30fffffffff,4.0,0.0,0.0
831e32fffffffff,21.0,0.0,0.0
831e52fffffffff,1.0,0.0,0.0
831e66fffffffff,1.0,0.0,0.0
831e72fffffffff,2.0,0.0,0.0
831eacfffffffff,2.0,0.0,0.0
831ec0fffffffff,9.0,0.0,0.0
831ec3fffffffff,17.0,2.0,0.0
831ef0fffffffff,2.0,0.0,0.0
831f5cfffffffff,1.0,1.0,0.0
831f81fffffffff,2.0,0.0,0.0
831f82fffffffff,19.0,0.0,0.0
831f8bfffffffff,1.0,0.0,0.0
831f8efffffffff,3.0,1.0,0.0
831f9cfffffffff,2.0,0.0,0.0
832425fffffffff,2.0,2.0,0.0
83255afffffffff,6.0,0.0,0.0
83255bfffffffff,1.0,1.0,0.0
8340c0fffffffff,2.0,0.0,2.0
8340e1fffffffff,5.0,0.0,5.0
