cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
849451dffffffff,6.0,0.0,0.0,0.0
84945e5ffffffff,1.0,0.0,0.0,0.0
84948d9ffffffff,4.0,0.0,0.0,0.0
849c05dffffffff,4.0,4.0,0.0,0.0
849c231ffffffff,6.0,5.0,0.0,0.0
849c237ffffffff,2.0,2.0,0.0,0.0
849c23bffffffff,4.0,4.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0,0.0
849cae7ffffffff,1.0,0.0,0.0,0.0
849d01bffffffff,2.0,0.0,0.0,2.0
849d0b5ffffffff,5.0,5.0,0.0,0.0
849d23bffffffff,1.0,0.0,0.0,1.0
849d241ffffffff,2.0,0.0,0.0,0.0
84be089ffffffff,6.0,0.0,0.0,2.0
84be08dffffffff,4.0,0.0,0.0,0.0
84be0e7ffffffff,1.0,0.0,0.0,0.0
84be635ffffffff,1.0,0.0,0.0,0.0
84be63dffffffff,1.0,0.0,0.0,0.0
84be72dffffffff,3.0,0.0,0.0,0.0
84be74dffffffff,3.0,0.0,0.0,0.0
84be759ffffffff,10.0,0.0,0.0,0.0
84be8d1ffffffff,16.0,0.0,0.0,0.0
84be8d9ffffffff,6.0,0.0,0.0,0.0
84be8ddffffffff,2.0,0.0,0.0,0.0
84bea95ffffffff,2.0,0.0,0.0,0.0
84beabbffffffff,3.0,0.0,0.0,0.0
84bef21ffffffff,1.0,0.0,0.0,0.0
