cell_id,Copsychus malabaricus,Copsychus malabaricus [malabaricus Group],Copsychus malabaricus ngae,Copsychus malabaricus [melanurus Group]
823c07fffffffff,10.0,0.0,0.0,0.0
823c0ffffffffff,4.0,0.0,0.0,0.0
823c17fffffffff,199.0,10.0,0.0,0.0
823c1ffffffffff,375.0,0.0,0.0,0.0
823c37fffffffff,75.0,0.0,0.0,0.0
823c57fffffffff,38.0,0.0,0.0,0.0
823c5ffffffffff,717.0,0.0,0.0,0.0
823c87fffffffff,158.0,0.0,0.0,0.0
823c8ffffffffff,325.0,0.0,0.0,0.0
823c97fffffffff,932.0,0.0,0.0,0.0
823c9ffffffffff,6.0,0.0,0.0,0.0
823ca7fffffffff,14.0,0.0,0.0,0.0
823caffffffffff,40.0,0.0,0.0,0.0
823cb7fffffffff,1409.0,0.0,0.0,0.0
823cc7fffffffff,801.0,0.0,0.0,0.0
823ccffffffffff,37.0,0.0,0.0,0.0
823cdffffffffff,14.0,2.0,0.0,0.0
823ce7fffffffff,1128.0,0.0,0.0,0.0
823ceffffffffff,782.0,0.0,0.0,0.0
823cf7fffffffff,9.0,0.0,0.0,0.0
823d17fffffffff,387.0,0.0,0.0,0.0
823d9ffffffffff,78.0,0.0,0.0,0.0
823daffffffffff,361.0,0.0,0.0,0.0
82404ffffffffff,98.0,0.0,0.0,0.0
824067fffffffff,102.0,0.0,0.0,0.0
82406ffffffffff,15.0,0.0,0.0,0.0
82411ffffffffff,34.0,2.0,0.0,0.0
82414ffffffffff,27.0,2.0,0.0,0.0
824157fffffffff,9.0,0.0,0.0,0.0
82415ffffffffff,63.0,1.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0
82416ffffffffff,86.0,0.0,0.0,0.0
824177fffffffff,20.0,1.0,0.0,0.0
8242dffffffffff,90.0,0.0,0.0,0.0
82464ffffffffff,7334.0,716.0,0.0,0.0
824b87fffffffff,2.0,0.0,0.0,0.0
824ba7fffffffff,6560.0,0.0,0.0,0.0
824bb7fffffffff,3108.0,0.0,0.0,0.0
825d17fffffffff,36.0,0.0,0.0,0.0
826007fffffffff,14.0,0.0,0.0,0.0
826017fffffffff,601.0,0.0,0.0,0.0
82601ffffffffff,5.0,0.0,0.0,0.0
826027fffffffff,43.0,0.0,0.0,0.0
826037fffffffff,1247.0,0.0,0.0,0.0
82608ffffffffff,1751.0,0.0,0.0,0.0
826097fffffffff,16.0,0.0,0.0,0.0
82609ffffffffff,46.0,0.0,0.0,0.0
8260a7fffffffff,104.0,0.0,0.0,0.0
8260affffffffff,1688.0,0.0,0.0,0.0
8260b7fffffffff,4.0,0.0,0.0,0.0
8260f7fffffffff,5.0,0.0,0.0,0.0
82618ffffffffff,511.0,0.0,0.0,0.0
82619ffffffffff,37.0,0.0,0.0,0.0
826417fffffffff,2036.0,737.0,0.0,0.0
826427fffffffff,2.0,2.0,0.0,0.0
826437fffffffff,592.0,300.0,0.0,0.0
826487fffffffff,661.0,267.0,0.0,0.0
82648ffffffffff,73.0,21.0,0.0,0.0
826497fffffffff,605.0,341.0,0.0,0.0
82649ffffffffff,44.0,22.0,0.0,0.0
8264a7fffffffff,935.0,231.0,0.0,0.0
8264b7fffffffff,465.0,170.0,0.0,0.0
82651ffffffffff,251.0,158.0,0.0,0.0
826527fffffffff,345.0,0.0,0.0,0.0
826587fffffffff,310.0,70.0,0.0,0.0
82658ffffffffff,722.0,265.0,0.0,0.0
826597fffffffff,458.0,89.0,0.0,0.0
82659ffffffffff,1397.0,462.0,0.0,0.0
8265affffffffff,4.0,0.0,0.0,0.0
8265b7fffffffff,189.0,41.0,0.0,0.0
826817fffffffff,6.0,0.0,0.0,0.0
8268a7fffffffff,1.0,0.0,0.0,0.0
