cell_id,Cisticola juncidis,Cisticola juncidis [juncidis Group],Cisticola juncidis terrestris/uropygialis,Cisticola juncidis [tinnabulans Group],Cisticola juncidis brunniceps
831840fffffffff,2.0,0.0,0.0,0.0,0.0
831844fffffffff,57.0,2.0,0.0,0.0,0.0
831845fffffffff,61.0,0.0,0.0,0.0,0.0
831846fffffffff,55.0,13.0,0.0,0.0,0.0
831849fffffffff,457.0,0.0,0.0,0.0,0.0
83184afffffffff,213.0,0.0,0.0,0.0,0.0
83184bfffffffff,1040.0,0.0,0.0,0.0,0.0
83184cfffffffff,7.0,0.0,0.0,0.0,0.0
83184dfffffffff,51.0,0.0,0.0,0.0,0.0
831859fffffffff,123.0,0.0,0.0,0.0,0.0
83185bfffffffff,1522.0,0.0,0.0,0.0,0.0
831860fffffffff,17.0,0.0,0.0,0.0,0.0
831862fffffffff,23.0,0.0,0.0,0.0,0.0
831863fffffffff,8.0,0.0,0.0,0.0,0.0
831864fffffffff,3.0,0.0,0.0,0.0,0.0
831865fffffffff,16.0,0.0,0.0,0.0,0.0
831866fffffffff,4.0,0.0,0.0,0.0,0.0
83186afffffffff,127.0,0.0,0.0,0.0,0.0
83186bfffffffff,10.0,0.0,0.0,0.0,0.0
83186cfffffffff,59.0,0.0,0.0,0.0,0.0
83186dfffffffff,17.0,0.0,0.0,0.0,0.0
83186efffffffff,12.0,0.0,0.0,0.0,0.0
831871fffffffff,13.0,0.0,0.0,0.0,0.0
831948fffffffff,17.0,0.0,0.0,0.0,0.0
83194bfffffffff,39.0,0.0,0.0,0.0,0.0
83194dfffffffff,4.0,0.0,0.0,0.0,0.0
831e12fffffffff,48.0,0.0,0.0,0.0,0.0
831e80fffffffff,39.0,0.0,0.0,0.0,0.0
831e81fffffffff,4.0,2.0,0.0,0.0,0.0
831e82fffffffff,61.0,0.0,0.0,0.0,0.0
831e83fffffffff,103.0,0.0,0.0,0.0,0.0
831e84fffffffff,14.0,1.0,0.0,0.0,0.0
831e86fffffffff,92.0,0.0,0.0,0.0,0.0
831e88fffffffff,6.0,0.0,0.0,0.0,0.0
831e8afffffffff,4.0,0.0,0.0,0.0,0.0
831e8bfffffffff,8.0,0.0,0.0,0.0,0.0
831e8efffffffff,2.0,0.0,0.0,0.0,0.0
831e92fffffffff,17.0,0.0,0.0,0.0,0.0
831e94fffffffff,17.0,0.0,0.0,0.0,0.0
831e96fffffffff,5.0,0.0,0.0,0.0,0.0
831e9afffffffff,21.0,2.0,0.0,0.0,0.0
831e9bfffffffff,7.0,0.0,0.0,0.0,0.0
