cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
842600bffffffff,103.0,0.0,0.0
8426011ffffffff,3.0,0.0,0.0
8426013ffffffff,2.0,0.0,0.0
8426015ffffffff,225.0,15.0,0.0
8426017ffffffff,135.0,2.0,0.0
842601bffffffff,1.0,0.0,0.0
842601dffffffff,110.0,0.0,0.0
8426021ffffffff,2.0,0.0,0.0
8426033ffffffff,9.0,0.0,0.0
8426037ffffffff,2.0,0.0,0.0
8426039ffffffff,16.0,3.0,0.0
842603bffffffff,10.0,0.0,0.0
842603dffffffff,2.0,0.0,0.0
8426049ffffffff,2.0,0.0,0.0
842604bffffffff,1.0,0.0,0.0
8426051ffffffff,14.0,0.0,0.0
8426055ffffffff,42.0,0.0,0.0
8426057ffffffff,7.0,0.0,0.0
8426059ffffffff,2.0,0.0,0.0
842605dffffffff,12.0,0.0,0.0
8426061ffffffff,1.0,0.0,0.0
8426067ffffffff,1.0,0.0,0.0
8426083ffffffff,5.0,0.0,0.0
8426085ffffffff,361.0,11.0,0.0
8426087ffffffff,94.0,0.0,0.0
842608bffffffff,7.0,0.0,0.0
842608dffffffff,162.0,103.0,0.0
8426091ffffffff,21.0,0.0,0.0
8426093ffffffff,17.0,0.0,0.0
8426095ffffffff,4.0,0.0,0.0
8426097ffffffff,18.0,0.0,0.0
8426099ffffffff,56.0,0.0,0.0
842609bffffffff,26.0,0.0,0.0
842609dffffffff,9.0,0.0,0.0
84260a1ffffffff,346.0,0.0,0.0
84260a3ffffffff,17.0,0.0,0.0
84260a7ffffffff,17.0,0.0,0.0
84260a9ffffffff,62.0,0.0,0.0
84260abffffffff,2.0,0.0,0.0
84260adffffffff,49.0,0.0,0.0
84260b1ffffffff,17.0,0.0,0.0
84260b3ffffffff,39.0,0.0,0.0
84260b5ffffffff,14.0,0.0,0.0
84260b7ffffffff,20.0,0.0,0.0
84260b9ffffffff,130.0,8.0,0.0
84260bbffffffff,45.0,0.0,0.0
84260bdffffffff,36.0,2.0,0.0
84260c1ffffffff,4.0,0.0,0.0
84260c3ffffffff,8.0,0.0,0.0
84260c9ffffffff,4.0,0.0,0.0
84260cbffffffff,8.0,0.0,0.0
84260d1ffffffff,16.0,0.0,0.0
84260d3ffffffff,11.0,0.0,0.0
84260d5ffffffff,2.0,0.0,0.0
84260d7ffffffff,6.0,0.0,0.0
84260d9ffffffff,112.0,2.0,0.0
84260ddffffffff,35.0,0.0,0.0
84260e1ffffffff,14.0,0.0,0.0
84260e3ffffffff,73.0,2.0,0.0
