cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
83148cfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
831496fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83149afffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
83149efffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8314aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8314aefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83158efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831598fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83208afffffffff,13.0,13.0,0.0,0.0,0.0,0.0,0.0
832099fffffffff,49.0,49.0,0.0,0.0,0.0,0.0,0.0
83209afffffffff,323.0,323.0,0.0,0.0,0.0,0.0,0.0
83209bfffffffff,180.0,180.0,0.0,0.0,0.0,0.0,0.0
83209efffffffff,92.0,92.0,0.0,0.0,0.0,0.0,0.0
832488fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83248afffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83248bfffffffff,93.0,0.0,0.0,0.0,0.0,0.0,0.0
8324c0fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8324c6fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8324d0fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8324d1fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8324d2fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8324d6fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8324defffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832e01fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
832e08fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
832e0afffffffff,12.0,0.0,12.0,0.0,0.0,0.0,0.0
832e0cfffffffff,27.0,0.0,27.0,0.0,0.0,0.0,0.0
832e0dfffffffff,82.0,0.0,82.0,0.0,0.0,0.0,0.0
832e0efffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
832e12fffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
832e13fffffffff,42.0,0.0,42.0,0.0,0.0,0.0,0.0
832e19fffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
832e1afffffffff,14.0,0.0,14.0,0.0,0.0,0.0,0.0
832e1bfffffffff,181.0,0.0,181.0,0.0,0.0,0.0,0.0
832e1efffffffff,15.0,0.0,15.0,0.0,0.0,0.0,0.0
832e29fffffffff,43.0,0.0,43.0,0.0,0.0,0.0,0.0
832e2bfffffffff,11.0,0.0,11.0,0.0,0.0,0.0,0.0
832e2dfffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
832e44fffffffff,25.0,0.0,25.0,0.0,0.0,0.0,0.0
832e60fffffffff,31.0,0.0,31.0,0.0,0.0,0.0,0.0
832e61fffffffff,434.0,0.0,433.0,0.0,0.0,0.0,0.0
832e62fffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
832e63fffffffff,26.0,0.0,26.0,0.0,0.0,0.0,0.0
832e64fffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
