cell_id,Cathartes aura,Cathartes aura [aura Group],Cathartes aura ruficollis,Cathartes aura jota,Cathartes aura [undescribed form]
840e491ffffffff,14.0,0.0,0.0,0.0,0.0
840e493ffffffff,25.0,0.0,0.0,0.0,0.0
840e497ffffffff,75.0,0.0,0.0,0.0,0.0
840e499ffffffff,3.0,0.0,0.0,0.0,0.0
840e49bffffffff,17.0,0.0,0.0,0.0,0.0
840e4a9ffffffff,2.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,4.0,0.0,0.0,0.0,0.0
840e4dbffffffff,20.0,0.0,0.0,0.0,0.0
840e5b3ffffffff,2.0,0.0,0.0,0.0,0.0
840e9a1ffffffff,1.0,0.0,0.0,0.0,0.0
840e9a7ffffffff,1.0,0.0,0.0,0.0,0.0
840ec83ffffffff,1.0,0.0,0.0,0.0,0.0
840ec85ffffffff,3.0,0.0,0.0,0.0,0.0
840ec95ffffffff,5.0,0.0,0.0,0.0,0.0
840ec97ffffffff,13.0,0.0,0.0,0.0,0.0
840ec9bffffffff,2.0,0.0,0.0,0.0,0.0
840eca3ffffffff,2.0,0.0,0.0,0.0,0.0
840eca7ffffffff,3.0,0.0,0.0,0.0,0.0
840ecb9ffffffff,8.0,0.0,0.0,0.0,0.0
840ecbdffffffff,2.0,0.0,0.0,0.0,0.0
840ed85ffffffff,6.0,0.0,0.0,0.0,0.0
840eda3ffffffff,1.0,0.0,0.0,0.0,0.0
840eda9ffffffff,1.0,0.0,0.0,0.0,0.0
840edb3ffffffff,1.0,0.0,0.0,0.0,0.0
840edb9ffffffff,2.0,0.0,0.0,0.0,0.0
840edbdffffffff,2.0,0.0,0.0,0.0,0.0
840ef31ffffffff,1.0,0.0,0.0,0.0,0.0
8412401ffffffff,2.0,0.0,0.0,0.0,0.0
8412433ffffffff,1.0,0.0,0.0,0.0,0.0
8412437ffffffff,2.0,0.0,0.0,0.0,0.0
8412457ffffffff,5.0,0.0,0.0,0.0,0.0
84124a7ffffffff,4.0,0.0,0.0,0.0,0.0
84124adffffffff,1.0,0.0,0.0,0.0,0.0
84124b3ffffffff,2.0,0.0,0.0,0.0,0.0
84124b5ffffffff,4.0,0.0,0.0,0.0,0.0
84124b7ffffffff,13.0,0.0,0.0,0.0,0.0
84124b9ffffffff,2.0,0.0,0.0,0.0,0.0
84124bdffffffff,8.0,0.0,0.0,0.0,0.0
84124d1ffffffff,3.0,0.0,0.0,0.0,0.0
84124d9ffffffff,2.0,0.0,0.0,0.0,0.0
84124dbffffffff,2.0,0.0,0.0,0.0,0.0
84124e5ffffffff,1.0,0.0,0.0,0.0,0.0
84124e7ffffffff,2.0,0.0,0.0,0.0,0.0
8412505ffffffff,14.0,0.0,0.0,0.0,0.0
8412507ffffffff,8.0,0.0,0.0,0.0,0.0
8412511ffffffff,19.0,0.0,0.0,0.0,0.0
8412513ffffffff,2.0,0.0,0.0,0.0,0.0
