cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
83015afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83089afffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8309a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,147.0,112.0,0.0,0.0,0.0,0.0
830c15fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
830c16fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c1efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c33fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,51.0,42.0,0.0,0.0,9.0,0.0
830c42fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
830c45fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,27.0,1.0,0.0,0.0,0.0,0.0
830c51fffffffff,25.0,3.0,0.0,0.0,2.0,0.0
830c54fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,18.0,3.0,0.0,0.0,0.0,0.0
830c5afffffffff,14.0,2.0,0.0,0.0,2.0,0.0
830c6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,65.0,8.0,0.0,0.0,0.0,0.0
830ca4fffffffff,42.0,1.0,0.0,0.0,30.0,0.0
830cdefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830cf4fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830d09fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d0cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830d1afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d44fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d60fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
