cell_id,Anabacerthia variegaticeps,Anabacerthia variegaticeps variegaticeps,Anabacerthia variegaticeps temporalis
8445201ffffffff,23.0,0.0,0.0
8445205ffffffff,4.0,0.0,0.0
8445207ffffffff,3.0,0.0,0.0
844520dffffffff,127.0,0.0,0.0
8445221ffffffff,1.0,0.0,0.0
8445225ffffffff,5.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0
8445247ffffffff,12.0,0.0,0.0
844524bffffffff,3.0,0.0,0.0
8445251ffffffff,6.0,0.0,0.0
8445255ffffffff,1.0,0.0,0.0
844525bffffffff,18.0,0.0,0.0
8445263ffffffff,5.0,0.0,0.0
8445269ffffffff,5.0,0.0,0.0
8445309ffffffff,6.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0
8445351ffffffff,138.0,0.0,0.0
8449963ffffffff,59.0,18.0,0.0
8449969ffffffff,1.0,0.0,0.0
844996bffffffff,3.0,2.0,0.0
8449b19ffffffff,17.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0
8466181ffffffff,9.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466187ffffffff,4.0,0.0,0.0
84661b1ffffffff,683.0,0.0,0.0
84661b3ffffffff,24.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0
84661b9ffffffff,191.0,0.0,0.0
84661bbffffffff,136.0,0.0,0.0
84661bdffffffff,16.0,0.0,0.0
8466a2dffffffff,13.0,1.0,0.0
8466b41ffffffff,31.0,0.0,0.0
8466b43ffffffff,5.0,0.0,0.0
8466b45ffffffff,12.0,0.0,0.0
8466b47ffffffff,4.0,0.0,0.0
8466b49ffffffff,23.0,0.0,0.0
8466b4dffffffff,136.0,0.0,0.0
8466b51ffffffff,141.0,16.0,0.0
8466b55ffffffff,54.0,0.0,0.0
8466b5bffffffff,44.0,2.0,0.0
8466b5dffffffff,15.0,0.0,0.0
8466d03ffffffff,18.0,0.0,0.0
8466d07ffffffff,5.0,0.0,0.0
8466d0bffffffff,189.0,0.0,0.0
8466d27ffffffff,1.0,0.0,0.0
8466d31ffffffff,2428.0,0.0,204.0
8466d35ffffffff,1153.0,0.0,129.0
8466d37ffffffff,78.0,0.0,11.0
8466d3dffffffff,57.0,0.0,19.0
8466e65ffffffff,5.0,0.0,0.0
8466f03ffffffff,11.0,0.0,0.0
8466f19ffffffff,7.0,0.0,0.0
8466f1dffffffff,41.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0
8466f53ffffffff,14.0,0.0,0.0
8466f57ffffffff,124.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
84679a7ffffffff,1.0,0.0,0.0
846d059ffffffff,61.0,1.0,0.0
846d05bffffffff,811.0,401.0,0.0
846d207ffffffff,90.0,11.0,0.0
846d223ffffffff,2.0,1.0,0.0
846d237ffffffff,2.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0
846d283ffffffff,4.0,0.0,0.0
846d285ffffffff,3.0,0.0,0.0
846d287ffffffff,31.0,0.0,0.0
846d295ffffffff,11.0,0.0,0.0
846d2a9ffffffff,60.0,10.0,0.0
846d2abffffffff,75.0,0.0,0.0
846d2b9ffffffff,381.0,12.0,0.0
846d2c7ffffffff,2.0,0.0,0.0
846d2d1ffffffff,17.0,0.0,0.0
846d2d3ffffffff,291.0,0.0,0.0
846d2d7ffffffff,237.0,0.0,0.0
846d2e5ffffffff,8.0,4.0,0.0
846d2e7ffffffff,4.0,0.0,0.0
846d2ebffffffff,4.0,0.0,0.0
846d305ffffffff,127.0,23.0,0.0
846d307ffffffff,12.0,0.0,0.0
846d34bffffffff,21.0,2.0,0.0
846d35dffffffff,220.0,27.0,0.0
846d369ffffffff,4.0,0.0,0.0
846d36dffffffff,8.0,0.0,0.0
846d66dffffffff,12.0,0.0,0.0
846d691ffffffff,79.0,0.0,0.0
846d693ffffffff,9.0,0.0,0.0
846d69bffffffff,88.0,0.0,0.0
846d69dffffffff,192.0,0.0,0.0
846d749ffffffff,9.0,0.0,0.0
848f0dbffffffff,417.0,0.0,36.0
848f291ffffffff,8.0,0.0,0.0
848f295ffffffff,42.0,0.0,0.0
848f297ffffffff,3.0,0.0,0.0
848f2a9ffffffff,6.0,0.0,0.0
848f2abffffffff,4.0,0.0,0.0
848f2bbffffffff,14.0,0.0,0.0
848f2c1ffffffff,2.0,0.0,0.0
848f2cbffffffff,5.0,0.0,0.0
848f765ffffffff,3.0,0.0,0.0
