cell_id,Oxyura ferruginea,Oxyura ferruginea andina,Oxyura ferruginea ferruginea
8466d1dffffffff,19.0,0.0,1.0
8466d33ffffffff,4.0,0.0,0.0
8466de5ffffffff,7.0,0.0,4.0
8466e09ffffffff,1.0,0.0,0.0
8466e43ffffffff,14.0,6.0,0.0
8466e4bffffffff,3.0,0.0,0.0
8466e61ffffffff,7.0,4.0,2.0
8466e6dffffffff,55.0,14.0,10.0
848b2c9ffffffff,39.0,0.0,39.0
848b2cbffffffff,3.0,0.0,3.0
848b2cdffffffff,3.0,0.0,3.0
848b61dffffffff,109.0,0.0,109.0
848b649ffffffff,10.0,0.0,0.0
848e62dffffffff,1.0,0.0,0.0
848e66bffffffff,3.0,0.0,3.0
848f081ffffffff,2.0,0.0,0.0
848f095ffffffff,14.0,0.0,0.0
848f0bbffffffff,12.0,0.0,0.0
848f299ffffffff,6.0,0.0,0.0
848f2ebffffffff,1.0,0.0,0.0
848f425ffffffff,2.0,0.0,0.0
848f4a5ffffffff,3.0,0.0,3.0
848f505ffffffff,17.0,0.0,0.0
848f513ffffffff,3.0,0.0,1.0
848f58dffffffff,1.0,0.0,1.0
848f59dffffffff,4.0,0.0,4.0
848f5e7ffffffff,4.0,0.0,0.0
848f76dffffffff,1.0,0.0,1.0
84b2037ffffffff,1.0,0.0,0.0
84b2191ffffffff,8.0,0.0,0.0
84b2197ffffffff,2.0,0.0,0.0
84b21bbffffffff,8.0,0.0,0.0
84b21ddffffffff,1.0,0.0,0.0
84b2749ffffffff,1.0,0.0,0.0
84b2c0dffffffff,1.0,0.0,0.0
84b2c39ffffffff,2.0,0.0,0.0
84b2c51ffffffff,4.0,0.0,0.0
84b2c5dffffffff,55.0,2.0,4.0
84b2c8bffffffff,2.0,0.0,2.0
84b2ca9ffffffff,5.0,0.0,0.0
84b2cadffffffff,2.0,0.0,0.0
84b2cc7ffffffff,3.0,0.0,3.0
84b2d97ffffffff,14.0,0.0,0.0
84b2ddbffffffff,4.0,0.0,0.0
84b2e3dffffffff,1.0,0.0,0.0
84b2e65ffffffff,3.0,0.0,0.0
84b2ec7ffffffff,1.0,0.0,0.0
84b3009ffffffff,1.0,0.0,1.0
84b3087ffffffff,6.0,0.0,0.0
84b308bffffffff,4.0,0.0,4.0
84b30b3ffffffff,2.0,0.0,0.0
84b30b5ffffffff,2.0,0.0,0.0
84b320bffffffff,5.0,0.0,5.0
84b320dffffffff,6.0,0.0,6.0
84b322dffffffff,1.0,0.0,0.0
84b3257ffffffff,9.0,0.0,9.0
84b3289ffffffff,4.0,0.0,4.0
84b3303ffffffff,13.0,0.0,0.0
84b3313ffffffff,15.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
84b3423ffffffff,3.0,0.0,0.0
84b3513ffffffff,5.0,0.0,2.0
84b3519ffffffff,3.0,0.0,3.0
84b3545ffffffff,2.0,0.0,0.0
84b355bffffffff,4.0,0.0,0.0
84b355dffffffff,4.0,0.0,4.0
84b35cdffffffff,1.0,0.0,0.0
84b35e9ffffffff,1.0,0.0,0.0
84b366dffffffff,11.0,0.0,0.0
84c3297ffffffff,1.0,0.0,0.0
84ce853ffffffff,1.0,0.0,0.0
84ce8a1ffffffff,2.0,0.0,0.0
84ce8a5ffffffff,1.0,0.0,0.0
84ce8abffffffff,1.0,0.0,0.0
84ce8e1ffffffff,14.0,0.0,0.0
84ce8e5ffffffff,3.0,0.0,0.0
84ce99bffffffff,3.0,0.0,0.0
84ce9d1ffffffff,9.0,0.0,0.0
84ce9d3ffffffff,11.0,0.0,0.0
84ce9d7ffffffff,28.0,0.0,1.0
84cea35ffffffff,2.0,0.0,2.0
84cea85ffffffff,5.0,0.0,0.0
84cea8dffffffff,11.0,0.0,0.0
84ceac5ffffffff,4.0,0.0,0.0
84ceacdffffffff,2.0,0.0,0.0
84ceae3ffffffff,3.0,0.0,0.0
84cf123ffffffff,1.0,0.0,1.0
84cf129ffffffff,8.0,0.0,1.0
84cf12bffffffff,4.0,0.0,0.0
84cf8bdffffffff,3.0,0.0,0.0
84cf8c3ffffffff,4.0,0.0,0.0
84cf8c7ffffffff,4.0,0.0,0.0
84cf8ddffffffff,2.0,0.0,0.0
84df699ffffffff,9.0,0.0,0.0
