cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
8426003ffffffff,1.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0
8426015ffffffff,4.0,0.0,0.0
8426017ffffffff,13.0,0.0,0.0
8426021ffffffff,4.0,0.0,0.0
8426023ffffffff,3.0,0.0,0.0
8426027ffffffff,3.0,0.0,0.0
842602bffffffff,1.0,0.0,0.0
8426033ffffffff,5.0,0.0,0.0
8426035ffffffff,2.0,0.0,0.0
842603dffffffff,1.0,0.0,0.0
8426067ffffffff,2.0,0.0,0.0
8426069ffffffff,4.0,0.0,0.0
8426083ffffffff,2.0,0.0,0.0
8426085ffffffff,1.0,0.0,0.0
8426087ffffffff,5.0,0.0,0.0
8426097ffffffff,1.0,0.0,0.0
8426099ffffffff,5.0,0.0,0.0
84260a1ffffffff,76.0,0.0,0.0
84260a3ffffffff,4.0,0.0,0.0
84260a5ffffffff,4.0,0.0,0.0
84260a9ffffffff,129.0,0.0,0.0
84260adffffffff,41.0,0.0,0.0
84260b1ffffffff,3.0,0.0,0.0
84260b3ffffffff,24.0,0.0,0.0
84260b5ffffffff,2.0,0.0,0.0
84260b7ffffffff,17.0,0.0,0.0
84260b9ffffffff,473.0,0.0,0.0
84260bbffffffff,54.0,0.0,0.0
84260bdffffffff,3.0,0.0,0.0
84260c9ffffffff,3.0,0.0,0.0
84260cbffffffff,50.0,0.0,0.0
84260d1ffffffff,1.0,0.0,0.0
84260d3ffffffff,1.0,0.0,0.0
84260d7ffffffff,6.0,0.0,0.0
84260d9ffffffff,11.0,0.0,0.0
84260ddffffffff,10.0,0.0,0.0
84260e3ffffffff,1.0,0.0,0.0
84260e9ffffffff,6.0,0.0,0.0
84260ebffffffff,10.0,0.0,0.0
8426111ffffffff,1.0,0.0,0.0
8426115ffffffff,3.0,0.0,0.0
8426117ffffffff,6.0,0.0,0.0
842611bffffffff,10.0,0.0,0.0
842611dffffffff,3.0,0.0,0.0
8426121ffffffff,2.0,0.0,0.0
8426123ffffffff,7.0,0.0,0.0
8426125ffffffff,2.0,0.0,0.0
8426127ffffffff,6.0,0.0,0.0
8426131ffffffff,2.0,0.0,0.0
8426137ffffffff,5.0,0.0,0.0
8426141ffffffff,4.0,0.0,0.0
8426181ffffffff,2.0,0.0,0.0
8426183ffffffff,52.0,0.0,3.0
8426185ffffffff,23.0,0.0,0.0
8426187ffffffff,22.0,0.0,2.0
8426189ffffffff,3.0,0.0,0.0
842618bffffffff,39.0,0.0,0.0
8426191ffffffff,18.0,0.0,0.0
8426193ffffffff,2.0,0.0,0.0
8426197ffffffff,2.0,0.0,0.0
8426199ffffffff,14.0,0.0,0.0
842619bffffffff,2.0,0.0,0.0
842619dffffffff,59.0,0.0,1.0
84261a7ffffffff,2.0,0.0,0.0
84261a9ffffffff,5.0,0.0,0.0
84261adffffffff,23.0,0.0,0.0
84261b1ffffffff,7.0,0.0,0.0
84261b3ffffffff,21.0,0.0,0.0
84261b5ffffffff,12.0,0.0,0.0
84261b7ffffffff,9.0,0.0,0.0
84261b9ffffffff,5.0,0.0,0.0
84261bdffffffff,1.0,0.0,0.0
84261c7ffffffff,4.0,0.0,1.0
84261c9ffffffff,2.0,0.0,0.0
84261cbffffffff,4.0,0.0,0.0
84261cdffffffff,3.0,0.0,0.0
84261d3ffffffff,39.0,0.0,0.0
84261d7ffffffff,17.0,0.0,0.0
84261dbffffffff,22.0,0.0,0.0
84261ddffffffff,3.0,0.0,0.0
84261e1ffffffff,2.0,0.0,0.0
84261e7ffffffff,29.0,0.0,0.0
84261edffffffff,3.0,0.0,0.0
