cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
824887fffffffff,2.0,0.0,0.0
82488ffffffffff,12.0,0.0,0.0
8248c7fffffffff,7.0,0.0,0.0
8248cffffffffff,10.0,0.0,0.0
8248d7fffffffff,13.0,1.0,0.0
8248dffffffffff,7.0,0.0,0.0
8248e7fffffffff,2.0,0.0,0.0
8248effffffffff,172.0,9.0,0.0
8248f7fffffffff,12.0,6.0,0.0
824987fffffffff,18.0,0.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,28.0,0.0,0.0
8249b7fffffffff,3.0,0.0,0.0
826d37fffffffff,12.0,0.0,6.0
