cell_id,Eudyptes chrysocome,Eudyptes chrysocome chrysocome,Eudyptes chrysocome filholi
84c21ddffffffff,2.0,0.0,0.0
84c3133ffffffff,1.0,0.0,0.0
84cf329ffffffff,16.0,0.0,0.0
84cf32dffffffff,3.0,0.0,0.0
84cf943ffffffff,27.0,2.0,0.0
84cfa45ffffffff,3.0,0.0,0.0
84d18d9ffffffff,1.0,0.0,0.0
84d6a95ffffffff,2.0,0.0,0.0
84d6a97ffffffff,4.0,0.0,0.0
84d6a9dffffffff,6.0,1.0,3.0
84da00dffffffff,21.0,0.0,16.0
84da063ffffffff,9.0,0.0,9.0
84da189ffffffff,15.0,0.0,15.0
84da859ffffffff,6.0,0.0,6.0
84da865ffffffff,1.0,0.0,1.0
84db80bffffffff,2.0,0.0,2.0
84db857ffffffff,9.0,0.0,9.0
84de629ffffffff,2.0,0.0,0.0
84de62dffffffff,3.0,1.0,0.0
84de661ffffffff,2.0,0.0,0.0
84de719ffffffff,1.0,0.0,0.0
84de753ffffffff,4.0,0.0,0.0
84df061ffffffff,1.0,0.0,0.0
84df06bffffffff,2.0,0.0,2.0
84df0abffffffff,1.0,0.0,0.0
84df0d3ffffffff,1.0,0.0,0.0
84df0d9ffffffff,1.0,0.0,0.0
84df2bdffffffff,1.0,0.0,0.0
84df359ffffffff,1.0,0.0,0.0
84df423ffffffff,1.0,0.0,0.0
84df427ffffffff,4.0,0.0,0.0
84df429ffffffff,2.0,0.0,0.0
84df42bffffffff,5.0,0.0,0.0
84df439ffffffff,2.0,0.0,0.0
84df43bffffffff,2.0,0.0,0.0
84df445ffffffff,1.0,0.0,0.0
84df447ffffffff,1.0,0.0,0.0
84df461ffffffff,3.0,0.0,0.0
84df46bffffffff,1.0,1.0,0.0
84df5cdffffffff,2.0,0.0,0.0
84df621ffffffff,3.0,1.0,0.0
84df6a7ffffffff,5.0,0.0,0.0
84df6e7ffffffff,2.0,0.0,0.0
84df721ffffffff,2.0,0.0,0.0
84df725ffffffff,1.0,0.0,0.0
84df735ffffffff,1.0,0.0,0.0
84df73dffffffff,1.0,0.0,0.0
84e0939ffffffff,2.0,0.0,2.0
