cell_id,Troglodytes musculus,Troglodytes musculus [intermedius Group],Troglodytes musculus [audax Group],Troglodytes musculus carabayae,Troglodytes musculus [musculus Group]
8444249ffffffff,38.0,0.0,0.0,0.0,0.0
8445011ffffffff,2.0,0.0,0.0,0.0,0.0
8445013ffffffff,8.0,0.0,0.0,0.0,0.0
8445019ffffffff,8.0,0.0,0.0,0.0,0.0
844501bffffffff,7.0,0.0,0.0,0.0,0.0
8445053ffffffff,6.0,0.0,0.0,0.0,0.0
8445059ffffffff,63.0,0.0,0.0,0.0,0.0
844505bffffffff,345.0,0.0,0.0,0.0,0.0
8445083ffffffff,27.0,0.0,0.0,0.0,0.0
8445085ffffffff,9.0,0.0,0.0,0.0,0.0
8445087ffffffff,59.0,0.0,0.0,0.0,0.0
8445089ffffffff,3.0,0.0,0.0,0.0,0.0
844508bffffffff,1.0,0.0,0.0,0.0,0.0
844508dffffffff,6.0,0.0,0.0,0.0,0.0
8445091ffffffff,33.0,0.0,0.0,0.0,0.0
8445093ffffffff,39.0,0.0,0.0,0.0,0.0
8445097ffffffff,6.0,0.0,0.0,0.0,0.0
8445099ffffffff,98.0,0.0,0.0,0.0,0.0
844509bffffffff,1184.0,0.0,0.0,0.0,0.0
844509dffffffff,10.0,0.0,0.0,0.0,0.0
84450a1ffffffff,48.0,0.0,0.0,0.0,0.0
84450a3ffffffff,45.0,0.0,0.0,0.0,0.0
84450a5ffffffff,10.0,0.0,0.0,0.0,0.0
84450a7ffffffff,17.0,0.0,0.0,0.0,0.0
84450a9ffffffff,6.0,0.0,0.0,0.0,0.0
84450abffffffff,7.0,0.0,0.0,0.0,0.0
84450b1ffffffff,60.0,0.0,0.0,0.0,0.0
84450b5ffffffff,99.0,0.0,0.0,0.0,0.0
84450b9ffffffff,28.0,0.0,0.0,0.0,0.0
84450bdffffffff,103.0,0.0,0.0,0.0,0.0
84450c1ffffffff,2.0,0.0,0.0,0.0,0.0
84450c5ffffffff,20.0,0.0,0.0,0.0,0.0
84450cdffffffff,9.0,0.0,0.0,0.0,0.0
84450d1ffffffff,2.0,0.0,0.0,0.0,0.0
84450d3ffffffff,27.0,0.0,0.0,0.0,0.0
84450d5ffffffff,71.0,0.0,0.0,0.0,0.0
84450d7ffffffff,29.0,0.0,0.0,0.0,0.0
84450e3ffffffff,12.0,0.0,0.0,0.0,0.0
84450e7ffffffff,2.0,0.0,0.0,0.0,0.0
84450ebffffffff,23.0,0.0,0.0,0.0,0.0
8445201ffffffff,23.0,0.0,0.0,0.0,0.0
8445203ffffffff,84.0,0.0,0.0,0.0,0.0
8445205ffffffff,292.0,0.0,0.0,0.0,0.0
8445207ffffffff,188.0,0.0,0.0,0.0,0.0
8445209ffffffff,110.0,0.0,0.0,0.0,0.0
844520bffffffff,8.0,0.0,0.0,0.0,0.0
