cell_id,Pyrrhura amazonum,Pyrrhura amazonum amazonum,Pyrrhura amazonum snethlageae,Pyrrhura amazonum lucida
838061fffffffff,14.0,14.0,0.0,0.0
838065fffffffff,44.0,26.0,0.0,0.0
838066fffffffff,7.0,0.0,0.0,0.0
838140fffffffff,23.0,0.0,0.0,0.0
838142fffffffff,5.0,0.0,0.0,0.0
838143fffffffff,8.0,2.0,0.0,0.0
838144fffffffff,6.0,2.0,0.0,0.0
838145fffffffff,3.0,3.0,0.0,0.0
838146fffffffff,26.0,6.0,0.0,0.0
838148fffffffff,1.0,0.0,0.0,0.0
83814afffffffff,212.0,68.0,0.0,0.0
83814dfffffffff,59.0,15.0,21.0,0.0
83814efffffffff,157.0,44.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0,0.0
83815cfffffffff,16.0,2.0,0.0,0.0
83815dfffffffff,36.0,12.0,0.0,0.0
838163fffffffff,1.0,0.0,0.0,0.0
838171fffffffff,17.0,16.0,0.0,0.0
838a01fffffffff,3.0,0.0,3.0,0.0
838a04fffffffff,1.0,0.0,1.0,0.0
838a05fffffffff,18.0,0.0,14.0,0.0
838a06fffffffff,2.0,0.0,2.0,0.0
838a10fffffffff,17.0,0.0,2.0,0.0
838a14fffffffff,4.0,0.0,0.0,0.0
838a15fffffffff,11.0,0.0,4.0,0.0
838a20fffffffff,1.0,0.0,1.0,0.0
838a21fffffffff,18.0,0.0,16.0,0.0
838a23fffffffff,5.0,0.0,3.0,0.0
838a24fffffffff,2.0,0.0,2.0,0.0
838a25fffffffff,1.0,0.0,1.0,0.0
838a2cfffffffff,5.0,0.0,5.0,0.0
838a30fffffffff,1.0,0.0,0.0,0.0
838a31fffffffff,45.0,0.0,42.0,0.0
838a33fffffffff,22.0,0.0,18.0,0.0
838a34fffffffff,1.0,0.0,1.0,0.0
838a35fffffffff,2.0,0.0,2.0,0.0
838a80fffffffff,15.0,7.0,3.0,0.0
838a82fffffffff,2.0,2.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0,0.0
838a92fffffffff,6.0,0.0,0.0,0.0
838a9cfffffffff,34.0,27.0,0.0,0.0
838a9dfffffffff,1.0,1.0,0.0,0.0
838b0bfffffffff,1.0,0.0,1.0,0.0
838b1afffffffff,2.0,0.0,2.0,0.0
838b82fffffffff,14.0,0.0,14.0,0.0
838b84fffffffff,77.0,0.0,40.0,0.0
838b88fffffffff,7.0,0.0,0.0,0.0
838b8afffffffff,3.0,0.0,3.0,0.0
838b8dfffffffff,2.0,0.0,2.0,0.0
838b8efffffffff,2.0,0.0,2.0,0.0
838b91fffffffff,1.0,0.0,1.0,0.0
838b94fffffffff,1.0,0.0,1.0,0.0
838b96fffffffff,1.0,0.0,0.0,0.0
838b98fffffffff,1.0,0.0,0.0,0.0
838b99fffffffff,110.0,1.0,31.0,0.0
838b9cfffffffff,3.0,0.0,1.0,0.0
838b9dfffffffff,764.0,23.0,241.0,0.0
838badfffffffff,1.0,0.0,1.0,0.0
83a84afffffffff,1.0,0.0,0.0,0.0
83a8c9fffffffff,11.0,0.0,11.0,0.0
