cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
8372d2fffffffff,2.0,2.0,0.0,0.0,0.0
8372dafffffffff,1.0,1.0,0.0,0.0,0.0
839451fffffffff,1.0,0.0,0.0,0.0,0.0
83945efffffffff,1.0,0.0,0.0,0.0,0.0
83956dfffffffff,3.0,0.0,0.0,0.0,0.0
839c8bfffffffff,8.0,0.0,0.0,0.0,0.0
839ca6fffffffff,5.0,0.0,0.0,0.0,0.0
839caafffffffff,4.0,2.0,0.0,0.0,0.0
839caefffffffff,4.0,1.0,0.0,0.0,0.0
839cd3fffffffff,11.0,9.0,0.0,0.0,0.0
839d9bfffffffff,2.0,2.0,0.0,0.0,0.0
