cell_id,Staphida castaniceps,Staphida castaniceps [striata Group],Staphida castaniceps castaniceps
843c0a3ffffffff,3.0,0.0,0.0
843c0b5ffffffff,4.0,0.0,0.0
843c0b7ffffffff,29.0,0.0,0.0
843c0bdffffffff,2.0,0.0,0.0
843c437ffffffff,3.0,0.0,0.0
843c533ffffffff,1.0,0.0,0.0
843c537ffffffff,27.0,0.0,0.0
843c581ffffffff,420.0,0.0,0.0
843c583ffffffff,10.0,0.0,0.0
843c587ffffffff,24.0,0.0,0.0
843c589ffffffff,5.0,0.0,0.0
843c595ffffffff,23.0,0.0,0.0
843c5b1ffffffff,6.0,0.0,0.0
843c5b3ffffffff,1.0,0.0,0.0
843c5b7ffffffff,14.0,0.0,0.0
843c5b9ffffffff,17.0,0.0,0.0
843c5bbffffffff,1.0,0.0,0.0
843c5bdffffffff,88.0,0.0,0.0
843c5c1ffffffff,4.0,0.0,0.0
843c5c5ffffffff,3.0,0.0,0.0
843c5c7ffffffff,2.0,0.0,0.0
843c5cbffffffff,27.0,0.0,0.0
843c5e1ffffffff,2.0,0.0,0.0
843c5e3ffffffff,5.0,0.0,0.0
843c5ebffffffff,5.0,0.0,0.0
843cc03ffffffff,22.0,0.0,0.0
843cc15ffffffff,1.0,0.0,0.0
843cc1dffffffff,1.0,0.0,0.0
843cc31ffffffff,23.0,0.0,0.0
843cc35ffffffff,1.0,0.0,0.0
843cc39ffffffff,5.0,0.0,0.0
843cd8bffffffff,9.0,0.0,0.0
843cdb1ffffffff,3.0,0.0,0.0
843ce31ffffffff,2.0,0.0,0.0
843ce33ffffffff,4.0,0.0,0.0
843ce3bffffffff,6.0,0.0,0.0
843ce3dffffffff,1.0,0.0,0.0
843ce43ffffffff,3.0,0.0,0.0
843ce4bffffffff,22.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843ce51ffffffff,32.0,0.0,0.0
843ce53ffffffff,8.0,0.0,0.0
843ce55ffffffff,20.0,0.0,0.0
843ce57ffffffff,20.0,0.0,0.0
843ce59ffffffff,8.0,0.0,0.0
843ce5bffffffff,37.0,0.0,0.0
843ce5dffffffff,157.0,0.0,0.0
843ce83ffffffff,19.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
843ce87ffffffff,4.0,0.0,0.0
843ce8bffffffff,5.0,0.0,0.0
843ce95ffffffff,1.0,0.0,0.0
843cebdffffffff,4.0,0.0,0.0
843ced7ffffffff,1.0,0.0,0.0
843cee5ffffffff,2.0,0.0,0.0
843ceedffffffff,1.0,0.0,0.0
84404c1ffffffff,2.0,0.0,0.0
84404c5ffffffff,59.0,1.0,0.0
84404c7ffffffff,4.0,0.0,0.0
84404ddffffffff,129.0,1.0,0.0
84404e1ffffffff,5.0,0.0,0.0
84404e3ffffffff,1.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
844059dffffffff,2.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0
8440613ffffffff,4.0,0.0,0.0
8440651ffffffff,2.0,0.0,0.0
8440653ffffffff,9.0,0.0,0.0
84406b7ffffffff,13.0,0.0,0.0
846416dffffffff,68.0,0.0,0.0
846480bffffffff,3.0,0.0,0.0
8464821ffffffff,35.0,0.0,0.0
8464825ffffffff,95.0,0.0,0.0
8464827ffffffff,10.0,0.0,0.0
846482bffffffff,62.0,0.0,0.0
846482dffffffff,2.0,0.0,0.0
846484bffffffff,7.0,0.0,0.0
8464903ffffffff,3.0,0.0,0.0
8464909ffffffff,1.0,0.0,0.0
8464911ffffffff,93.0,0.0,0.0
846491bffffffff,3.0,0.0,0.0
846494bffffffff,11.0,0.0,0.0
8464a35ffffffff,53.0,0.0,0.0
8464a3dffffffff,1.0,0.0,0.0
