cell_id,Campephilus haematogaster,Campephilus haematogaster splendens,Campephilus haematogaster haematogaster
836610fffffffff,5.0,0.0,0.0
836612fffffffff,4.0,0.0,0.0
836613fffffffff,123.0,22.0,0.0
836616fffffffff,58.0,7.0,0.0
83661afffffffff,56.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0
83661cfffffffff,30.0,0.0,0.0
83661efffffffff,20.0,0.0,0.0
8366a0fffffffff,12.0,0.0,0.0
8366a5fffffffff,33.0,19.0,0.0
8366b5fffffffff,2.0,1.0,0.0
8366c2fffffffff,19.0,0.0,0.0
8366d0fffffffff,112.0,6.0,0.0
8366d1fffffffff,6.0,0.0,0.0
8366d2fffffffff,5.0,0.0,0.0
8366d3fffffffff,223.0,28.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366defffffffff,86.0,0.0,21.0
8366f0fffffffff,75.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
838b61fffffffff,66.0,0.0,8.0
838b6cfffffffff,21.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838e61fffffffff,1.0,0.0,0.0
838e64fffffffff,34.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0
838e6dfffffffff,2.0,0.0,0.0
838f2cfffffffff,1.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0
838f42fffffffff,13.0,0.0,0.0
838f46fffffffff,29.0,0.0,0.0
838f4afffffffff,1.0,0.0,0.0
838f50fffffffff,1.0,0.0,0.0
838f54fffffffff,25.0,0.0,0.0
838f55fffffffff,17.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f70fffffffff,14.0,0.0,2.0
838f72fffffffff,37.0,0.0,9.0
838f73fffffffff,21.0,0.0,0.0
838f76fffffffff,20.0,0.0,2.0
