cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
838e66fffffffff,10.0,4.0,3.0,3.0
83b200fffffffff,6.0,0.0,0.0,3.0
83b201fffffffff,2.0,0.0,0.0,0.0
83b203fffffffff,4.0,0.0,0.0,4.0
83b204fffffffff,4.0,0.0,0.0,2.0
83b205fffffffff,2.0,0.0,0.0,0.0
83b20afffffffff,9.0,0.0,0.0,0.0
83b219fffffffff,43.0,0.0,0.0,0.0
83b21bfffffffff,2.0,0.0,0.0,0.0
83b228fffffffff,1.0,0.0,0.0,0.0
83b22efffffffff,1.0,0.0,0.0,0.0
83b25cfffffffff,5.0,0.0,0.0,0.0
83b2c1fffffffff,4.0,0.0,0.0,0.0
83b2c4fffffffff,2.0,0.0,0.0,0.0
83b2c5fffffffff,67.0,0.0,0.0,0.0
83b2cafffffffff,4.0,0.0,0.0,0.0
83b2cefffffffff,3.0,0.0,0.0,0.0
83b2e2fffffffff,1.0,0.0,0.0,0.0
83b2e3fffffffff,11.0,0.0,0.0,0.0
83b2e4fffffffff,3.0,0.0,0.0,0.0
83b2e6fffffffff,4.0,0.0,0.0,0.0
83b30bfffffffff,1.0,0.0,0.0,0.0
83b320fffffffff,1.0,0.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0,0.0
83ce81fffffffff,3.0,0.0,0.0,0.0
