cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
8366dbfffffffff,3.0,0.0,0.0
8366dcfffffffff,91.0,22.0,0.0
8366ddfffffffff,9.0,4.0,0.0
8366defffffffff,6.0,0.0,0.0
8366e0fffffffff,914.0,7.0,0.0
8366e1fffffffff,153.0,0.0,0.0
8366e2fffffffff,291.0,0.0,0.0
8366e3fffffffff,35.0,0.0,0.0
8366e4fffffffff,583.0,2.0,0.0
8366e5fffffffff,1327.0,0.0,0.0
8366e6fffffffff,1567.0,20.0,0.0
8366ecfffffffff,71.0,0.0,0.0
8366eefffffffff,67.0,3.0,0.0
836741fffffffff,1183.0,28.0,0.0
836742fffffffff,244.0,1.0,0.0
836743fffffffff,572.0,15.0,0.0
83674afffffffff,66.0,10.0,0.0
83674cfffffffff,2038.0,26.0,0.0
83674dfffffffff,5.0,0.0,0.0
83674efffffffff,491.0,13.0,0.0
836751fffffffff,189.0,1.0,0.0
836752fffffffff,6.0,0.0,0.0
836753fffffffff,187.0,1.0,0.0
836755fffffffff,56.0,3.0,0.0
836756fffffffff,6.0,0.0,0.0
836758fffffffff,22.0,0.0,0.0
836759fffffffff,41.0,0.0,0.0
83675afffffffff,87.0,0.0,0.0
83675bfffffffff,8.0,0.0,0.0
83675cfffffffff,573.0,0.0,0.0
83675dfffffffff,28.0,0.0,0.0
83675efffffffff,67.0,0.0,0.0
836769fffffffff,7.0,0.0,0.0
83676bfffffffff,1.0,0.0,0.0
836790fffffffff,28.0,0.0,0.0
836792fffffffff,32.0,0.0,0.0
836793fffffffff,24.0,0.0,0.0
836794fffffffff,33.0,0.0,0.0
836796fffffffff,67.0,0.0,0.0
83679afffffffff,1022.0,0.0,0.0
83679bfffffffff,169.0,0.0,0.0
8367b2fffffffff,1.0,0.0,0.0
836d04fffffffff,73.0,8.0,0.0
836d05fffffffff,240.0,58.0,0.0
836d20fffffffff,40.0,0.0,0.0
836d21fffffffff,158.0,13.0,0.0
836d22fffffffff,35.0,2.0,0.0
836d23fffffffff,496.0,78.0,0.0
836d25fffffffff,19.0,1.0,0.0
836d28fffffffff,137.0,15.0,0.0
836d29fffffffff,263.0,18.0,0.0
836d2afffffffff,19.0,0.0,0.0
836d2bfffffffff,1494.0,61.0,0.0
836d2cfffffffff,802.0,116.0,0.0
836d2dfffffffff,1221.0,596.0,0.0
836d2efffffffff,50.0,11.0,0.0
836d30fffffffff,235.0,30.0,0.0
836d31fffffffff,180.0,41.0,0.0
836d34fffffffff,644.0,25.0,0.0
836d35fffffffff,130.0,5.0,0.0
836d36fffffffff,29.0,0.0,0.0
836d60fffffffff,511.0,0.0,0.0
836d61fffffffff,960.0,0.0,0.0
836d63fffffffff,56.0,0.0,0.0
836d64fffffffff,1851.0,0.0,0.0
836d65fffffffff,625.0,0.0,0.0
836d66fffffffff,193.0,0.0,0.0
836d68fffffffff,1922.0,0.0,0.0
836d69fffffffff,8419.0,0.0,0.0
836d6afffffffff,11.0,0.0,0.0
836d6bfffffffff,2687.0,0.0,0.0
836d6cfffffffff,31.0,0.0,0.0
836d6dfffffffff,1882.0,0.0,0.0
836d6efffffffff,755.0,0.0,0.0
836d74fffffffff,182.0,0.0,0.0
836d75fffffffff,128.0,0.0,0.0
836d76fffffffff,14.0,0.0,0.0
838002fffffffff,2.0,0.0,2.0
838005fffffffff,5.0,3.0,0.0
838006fffffffff,4.0,0.0,2.0
83800cfffffffff,6.0,3.0,0.0
838010fffffffff,61.0,0.0,54.0
838011fffffffff,31.0,0.0,21.0
838013fffffffff,4.0,0.0,2.0
838014fffffffff,87.0,0.0,73.0
838015fffffffff,2.0,0.0,2.0
838016fffffffff,26.0,0.0,22.0
83801cfffffffff,1.0,0.0,0.0
838021fffffffff,2.0,0.0,0.0
838023fffffffff,2.0,0.0,2.0
838024fffffffff,2.0,0.0,2.0
838029fffffffff,2.0,0.0,0.0
83802bfffffffff,3.0,0.0,0.0
83802cfffffffff,1.0,0.0,0.0
838030fffffffff,137.0,0.0,124.0
838032fffffffff,2.0,0.0,2.0
838034fffffffff,2.0,0.0,2.0
838035fffffffff,4.0,0.0,2.0
838036fffffffff,31.0,0.0,26.0
838046fffffffff,8.0,0.0,0.0
838048fffffffff,1.0,0.0,0.0
83804cfffffffff,10.0,5.0,0.0
838066fffffffff,3.0,0.0,0.0
838068fffffffff,3.0,0.0,0.0
83806afffffffff,6.0,0.0,0.0
83806bfffffffff,16.0,6.0,0.0
838071fffffffff,2.0,0.0,0.0
838074fffffffff,18.0,0.0,0.0
8380a4fffffffff,5.0,0.0,5.0
838100fffffffff,8.0,0.0,6.0
838101fffffffff,8.0,0.0,8.0
838102fffffffff,54.0,0.0,40.0
838106fffffffff,10.0,0.0,6.0
83810efffffffff,3.0,0.0,3.0
838110fffffffff,2.0,0.0,2.0
838113fffffffff,3.0,0.0,3.0
838114fffffffff,1.0,0.0,0.0
838115fffffffff,1.0,0.0,0.0
838118fffffffff,4.0,0.0,4.0
838119fffffffff,2.0,0.0,0.0
83811afffffffff,3.0,0.0,2.0
83811cfffffffff,2.0,0.0,2.0
83811efffffffff,6.0,0.0,6.0
838120fffffffff,2.0,0.0,0.0
838121fffffffff,41.0,2.0,35.0
838122fffffffff,6.0,0.0,6.0
838123fffffffff,3.0,0.0,3.0
838124fffffffff,78.0,0.0,70.0
838125fffffffff,1.0,0.0,0.0
83812bfffffffff,4.0,0.0,4.0
83812dfffffffff,24.0,4.0,0.0
838130fffffffff,43.0,0.0,23.0
838131fffffffff,4.0,0.0,4.0
838133fffffffff,74.0,0.0,66.0
838134fffffffff,2.0,1.0,1.0
838140fffffffff,5.0,0.0,0.0
838142fffffffff,6.0,3.0,0.0
838143fffffffff,2.0,1.0,0.0
838145fffffffff,8.0,0.0,0.0
838146fffffffff,7.0,0.0,0.0
83814afffffffff,3.0,0.0,0.0
