cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
83941bfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8394cdfffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8394e2fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8394f4fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8394f6fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
839c05fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
839c41fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83a606fffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
83a631fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83b851fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83b880fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83b885fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83b8a8fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83b9b3fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83bb09fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bb0dfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bb2bfffffffff,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83bb54fffffffff,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
83be08fffffffff,30.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0
83be09fffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
83be0bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be0cfffffffff,45.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be0efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be40fffffffff,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
83be43fffffffff,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83be46fffffffff,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
83be49fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83be4efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be50fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be53fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be62fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83be63fffffffff,23.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
83be68fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83be6afffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
83be6efffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83be72fffffffff,62.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
83be73fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
83be74fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
83be75fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83be8dfffffffff,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83beabfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83bef5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bf4cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83c986fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83c9b3fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83da80fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da82fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da83fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da84fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da85fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da86fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83da95fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83daaafffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83dab3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
