cell_id,Campocolinus albogularis,Campocolinus albogularis albogularis/buckleyi,Campocolinus albogularis dewittei
83545cfffffffff,1.0,0.0,0.0
839646fffffffff,1.0,0.0,0.0
839673fffffffff,3.0,0.0,0.0
